Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date
A1	Negative Control		0.2955		WT	PM1	3/2/16
A2	L-Arabinose		0.4737		WT	PM1	3/2/16
A3	N-Acetyl-D-Glucosamine		0.3018		WT	PM1	3/2/16
A4	D-Saccharic Acid		0.7139		WT	PM1	3/2/16
A5	Succinic Acid		0.5745		WT	PM1	3/2/16
A6	D-Galactose		0.4314		WT	PM1	3/2/16
A7	L-Aspartic Acid		0.5805		WT	PM1	3/2/16
A8	L-Proline		0.4236		WT	PM1	3/2/16
A9	D-Alanine		0.4124		WT	PM1	3/2/16
A10	D-Trehalose		0.3184		WT	PM1	3/2/16
A11	D-Mannose		0.4146		WT	PM1	3/2/16
A12	Dulcitol		0.3998		WT	PM1	3/2/16
B1	D-Serine		0.3832		WT	PM1	3/2/16
B2	D-Sorbitol		0.3321		WT	PM1	3/2/16
B3	Glycerol		0.2214		WT	PM1	3/2/16
B4	L-Fucose		0.2993		WT	PM1	3/2/16
B5	D-Glucuronic Acid		0.2643		WT	PM1	3/2/16
B6	D-Gluconic Acid		0.6124		WT	PM1	3/2/16
B7	"D,L-a-Glycerol-Phosphate"		0.3204		WT	PM1	3/2/16
B8	D-Xylose		0.4106		WT	PM1	3/2/16
B9	L-Lactic Acid		0.4209		WT	PM1	3/2/16
B10	Formic Acid		0.404		WT	PM1	3/2/16
B11	D-Mannitol		0.5032		WT	PM1	3/2/16
B12	L-Glutamic Acid		0.4445		WT	PM1	3/2/16
C1	D-Glucose-6-Phosphate		0.5443		WT	PM1	3/2/16
C2	D-Galactonic Acid-g-Lactone		0.5379		WT	PM1	3/2/16
C3	"D,L-Malic Acid"		0.4315		WT	PM1	3/2/16
C4	D-Ribose		0.3414		WT	PM1	3/2/16
C5	Tween 20		0.0392		WT	PM1	3/2/16
C6	L-Rhamnose		0.3238		WT	PM1	3/2/16
C7	D-Fructose		0.3588		WT	PM1	3/2/16
C8	Acetic Acid		0.3673		WT	PM1	3/2/16
C9	a-D-Glucose		0.544		WT	PM1	3/2/16
C10	Maltose		0.3144		WT	PM1	3/2/16
C11	D-Melibiose		0.3045		WT	PM1	3/2/16
C12	Thymidine		0.3869		WT	PM1	3/2/16
D1	L-Asparagine		0.458		WT	PM1	3/2/16
D2	D-Aspartic Acid		0.3308		WT	PM1	3/2/16
D3	D-Glucosaminic Acid		0.593		WT	PM1	3/2/16
D4	"1,2-Propanediol"		0.2551		WT	PM1	3/2/16
D5	Tween 40		0.0344		WT	PM1	3/2/16
D6	a-Keto-Glutaric Acid		0.4688		WT	PM1	3/2/16
D7	a-Keto-Butyric Acid		0.3515		WT	PM1	3/2/16
D8	a-Methyl-D-Galactoside		0.2763		WT	PM1	3/2/16
D9	a-D-Lactose		0.3291		WT	PM1	3/2/16
D10	Lactulose		0.3516		WT	PM1	3/2/16
D11	Sucrose		0.2822		WT	PM1	3/2/16
D12	Uridine		0.3364		WT	PM1	3/2/16
E1	L-Glutamine		0.5677		WT	PM1	3/2/16
E2	M-Tartaric Acid		0.5938		WT	PM1	3/2/16
E3	D-Glucose-1-Phosphate		0.3707		WT	PM1	3/2/16
E4	D-Fructose-6-Phosphate		0.2426		WT	PM1	3/2/16
E5	Tween 80		0.0362		WT	PM1	3/2/16
