Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date	Biofilm Width	Bottom of well	Biofilm intensity	Biofilm/Growth	General Notes
A1	Negative Control		0.406		WT	PM1	3/7/16					
A2	L-Arabinose		0.473		WT	PM1	3/7/16					
A3	N-Acetyl-D-Glucosamine		0.35		WT	PM1	3/7/16					
A4	D-Saccharic Acid		0.495		WT	PM1	3/7/16					
A5	Succinic Acid		0.474		WT	PM1	3/7/16					
A6	D-Galactose		0.395		WT	PM1	3/7/16					
A7	L-Aspartic Acid		0.581		WT	PM1	3/7/16					
A8	L-Proline		0.333		WT	PM1	3/7/16					
A9	D-Alanine		0.232		WT	PM1	3/7/16					
A10	D-Trehalose		0.347		WT	PM1	3/7/16					
A11	D-Mannose		0.37		WT	PM1	3/7/16					
A12	Dulcitol		0.362		WT	PM1	3/7/16					
B1	D-Serine		0.142		WT	PM1	3/7/16					
B2	D-Sorbitol		0.403		WT	PM1	3/7/16					
B3	Glycerol		0.335		WT	PM1	3/7/16					
B4	L-Fucose		0.396		WT	PM1	3/7/16					
B5	D-Glucuronic Acid		0.392		WT	PM1	3/7/16					
B6	D-Gluconic Acid		0.419		WT	PM1	3/7/16					
B7	"D,L-a-Glycerol-Phosphate"		0.3		WT	PM1	3/7/16					
B8	D-Xylose		0.356		WT	PM1	3/7/16					
B9	L-Lactic Acid		0.315		WT	PM1	3/7/16					
B10	Formic Acid		0.292		WT	PM1	3/7/16					
B11	D-Mannitol		0.356		WT	PM1	3/7/16					
B12	L-Glutamic Acid		0.377		WT	PM1	3/7/16					
C1	D-Glucose-6-Phosphate		0.53		WT	PM1	3/7/16					
C2	D-Galactonic Acid-g-Lactone		0.557		WT	PM1	3/7/16					
C3	"D,L-Malic Acid"		0.446		WT	PM1	3/7/16					
C4	D-Ribose		0.357		WT	PM1	3/7/16					
C5	Tween 20		0.017		WT	PM1	3/7/16					
C6	L-Rhamnose		0.33		WT	PM1	3/7/16					
C7	D-Fructose		0.273		WT	PM1	3/7/16					
C8	Acetic Acid		0.351		WT	PM1	3/7/16					
C9	a-D-Glucose		0.411		WT	PM1	3/7/16					
C10	Maltose		0.312		WT	PM1	3/7/16					
C11	D-Melibiose		0.279		WT	PM1	3/7/16					
C12	Thymidine		0.368		WT	PM1	3/7/16					
D1	L-Asparagine		0.441		WT	PM1	3/7/16					
D2	D-Aspartic Acid		0.362		WT	PM1	3/7/16					
D3	D-Glucosaminic Acid		0.45		WT	PM1	3/7/16					
D4	"1,2-Propanediol"		0.348		WT	PM1	3/7/16					
D5	Tween 40		0.022		WT	PM1	3/7/16					
D6	a-Keto-Glutaric Acid		0.405		WT	PM1	3/7/16					
D7	a-Keto-Butyric Acid		0.418		WT	PM1	3/7/16					
D8	a-Methyl-D-Galactoside		0.285		WT	PM1	3/7/16					
D9	a-D-Lactose		0.282		WT	PM1	3/7/16					
D10	Lactulose		0.297		WT	PM1	3/7/16					
D11	Sucrose		0.302		WT	PM1	3/7/16					
D12	Uridine		0.357		WT	PM1	3/7/16					
E1	L-Glutamine		0.404		WT	PM1	3/7/16					
E2	M-Tartaric Acid		0.572		WT	PM1	3/7/16					
E3	D-Glucose-1-Phosphate		0.423		WT	PM1	3/7/16					
E4	D-Fructose-6-Phosphate		0.361		WT	PM1	3/7/16					
E5	Tween 80		0.015		WT	PM1	3/7/16					
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.391		WT	PM1	3/7/16					
E7	a-Hydroxy Butyric Acid		0.591		WT	PM1	3/7/16					
E8	b-Methyl-D-Glucoside		0.295		WT	PM1	3/7/16					
E9	Adonitol		0.3		WT	PM1	3/7/16					
E10	Maltotriose		0.303		WT	PM1	3/7/16					
E11	2-Deoxy Adenosine		0.246		WT	PM1	3/7/16					
E12	Adenosine		0.259		WT	PM1	3/7/16					
F1	Glycil-L-Aspartic Acid		0.42		WT	PM1	3/7/16					
F2	Citric Acid		0.427		WT	PM1	3/7/16					
F3	M-Inositol		0.411		WT	PM1	3/7/16					
F4	D-Threonine		0.554		WT	PM1	3/7/16					
F5	Fumaric Acid		0.401		WT	PM1	3/7/16					
F6	Bromo Succinic Acid		0.369		WT	PM1	3/7/16					
F7	Propionic Acid		0.341		WT	PM1	3/7/16					
F8	Mucic Acid		0.277		WT	PM1	3/7/16					
F9	Glycolic Acid		0.446		WT	PM1	3/7/16					
F10	Glyoxylic Acid		0.44		WT	PM1	3/7/16					
F11	D-Cellobiose		0.361		WT	PM1	3/7/16					
F12	Inosine		0.348		WT	PM1	3/7/16					
G1	Glycil-L-Glutamic Acid		0.389		WT	PM1	3/7/16					
G2	Tricarballylic Acid		0.524		WT	PM1	3/7/16					
G3	L-Serine		0.527		WT	PM1	3/7/16					
G4	L-Threonine		0.462		WT	PM1	3/7/16					
G5	L-Alanine		0.359		WT	PM1	3/7/16					
G6	L-Alanyl-Glycine		0.354		WT	PM1	3/7/16					
G7	Acetoacetic Acid		0.324		WT	PM1	3/7/16					
G8	N-Acetyl-b-D-Mannosamine		0.36		WT	PM1	3/7/16					
G9	Mono Methyl Succinate		0.382		WT	PM1	3/7/16					
G10	Methyl Pyruvate		0.284		WT	PM1	3/7/16					
G11	D-Malic Acid		0.501		WT	PM1	3/7/16					
G12	L-Malic Acid		0.397		WT	PM1	3/7/16					
H1	Glycil-L-Proline		0.345		WT	PM1	3/7/16					
H2	p-Hydroxy Phenyl Acetic Acid		0.409		WT	PM1	3/7/16					
H3	m-Hydroxy Phenyl Acetic Acid		0.421		WT	PM1	3/7/16					
H4	Tyramine		0.532		WT	PM1	3/7/16					
H5	D-Psicose		0.391		WT	PM1	3/7/16					
H6	L-Lyxose		0.412		WT	PM1	3/7/16					
H7	Glucuronamide		0.354		WT	PM1	3/7/16					
H8	Pyruvic Acid		0.351		WT	PM1	3/7/16					
H9	L-Galactonic Acid-g-Lactone		0.324		WT	PM1	3/7/16					
H10	D-Galacturonic Acid		0.365		WT	PM1	3/7/16					
H11	Phenylethyl-amine		0.435		WT	PM1	3/7/16					
H12	2-Aminoethanol		0.425		WT	PM1	3/7/16					
A1	Negative Control		0.328		wspR	PM1	3/7/16					
A2	L-Arabinose		0.325		wspR	PM1	3/7/16					
A3	N-Acetyl-D-Glucosamine		0.308		wspR	PM1	3/7/16					
A4	D-Saccharic Acid		0.434		wspR	PM1	3/7/16					
A5	Succinic Acid		0.288		wspR	PM1	3/7/16					
A6	D-Galactose		0.374		wspR	PM1	3/7/16					
A7	L-Aspartic Acid		0.419		wspR	PM1	3/7/16					
A8	L-Proline		0.249		wspR	PM1	3/7/16					
A9	D-Alanine		0.212		wspR	PM1	3/7/16					
A10	D-Trehalose		0.288		wspR	PM1	3/7/16					
A11	D-Mannose		0.298		wspR	PM1	3/7/16					
A12	Dulcitol		0.308		wspR	PM1	3/7/16					
B1	D-Serine		0.137		wspR	PM1	3/7/16					
B2	D-Sorbitol		0.321		wspR	PM1	3/7/16					
B3	Glycerol		0.27		wspR	PM1	3/7/16					
B4	L-Fucose		0.335		wspR	PM1	3/7/16					
B5	D-Glucuronic Acid		0.302		wspR	PM1	3/7/16					
B6	D-Gluconic Acid		0.356		wspR	PM1	3/7/16					
B7	"D,L-a-Glycerol-Phosphate"		0.244		wspR	PM1	3/7/16					
B8	D-Xylose		0.323		wspR	PM1	3/7/16					
B9	L-Lactic Acid		0.272		wspR	PM1	3/7/16					
B10	Formic Acid		0.293		wspR	PM1	3/7/16					
B11	D-Mannitol		0.344		wspR	PM1	3/7/16					
B12	L-Glutamic Acid		0.295		wspR	PM1	3/7/16					
C1	D-Glucose-6-Phosphate		0.394		wspR	PM1	3/7/16					
C2	D-Galactonic Acid-g-Lactone		0.323		wspR	PM1	3/7/16					
C3	"D,L-Malic Acid"		0.295		wspR	PM1	3/7/16					
C4	D-Ribose		0.328		wspR	PM1	3/7/16					
C5	Tween 20		0.014		wspR	PM1	3/7/16					
C6	L-Rhamnose		0.296		wspR	PM1	3/7/16					
C7	D-Fructose		0.243		wspR	PM1	3/7/16					
C8	Acetic Acid		0.284		wspR	PM1	3/7/16					
C9	a-D-Glucose		0.299		wspR	PM1	3/7/16					
C10	Maltose		0.274		wspR	PM1	3/7/16					
C11	D-Melibiose		0.267		wspR	PM1	3/7/16					
C12	Thymidine		0.295		wspR	PM1	3/7/16					
D1	L-Asparagine		0.272		wspR	PM1	3/7/16					
D2	D-Aspartic Acid		0.25		wspR	PM1	3/7/16					
D3	D-Glucosaminic Acid		0.33		wspR	PM1	3/7/16					
D4	"1,2-Propanediol"		0.311		wspR	PM1	3/7/16					
D5	Tween 40		0.018		wspR	PM1	3/7/16					
D6	a-Keto-Glutaric Acid		0.273		wspR	PM1	3/7/16					
D7	a-Keto-Butyric Acid		0.459		wspR	PM1	3/7/16					
D8	a-Methyl-D-Galactoside		0.268		wspR	PM1	3/7/16					
D9	a-D-Lactose		0.25		wspR	PM1	3/7/16					
D10	Lactulose		0.274		wspR	PM1	3/7/16					
D11	Sucrose		0.273		wspR	PM1	3/7/16					
D12	Uridine		0.248		wspR	PM1	3/7/16					
E1	L-Glutamine		0.313		wspR	PM1	3/7/16					
E2	M-Tartaric Acid		0.468		wspR	PM1	3/7/16					
E3	D-Glucose-1-Phosphate		0.322		wspR	PM1	3/7/16					
E4	D-Fructose-6-Phosphate		0.311		wspR	PM1	3/7/16					
E5	Tween 80		0.016		wspR	PM1	3/7/16					
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.3		wspR	PM1	3/7/16					
E7	a-Hydroxy Butyric Acid		0.541		wspR	PM1	3/7/16					
E8	b-Methyl-D-Glucoside		0.281		wspR	PM1	3/7/16					
