Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date
A1	Negative Control		0.415		WT	PM2A	3/8/16
A2	Chondroitin Sulfate C		0.262		WT	PM2A	3/8/16
A3	a-Cyclodextrin		0.441		WT	PM2A	3/8/16
A4	b-Cyclodextrin		0.399		WT	PM2A	3/8/16
A5	g-Cyclodextrin		0.273		WT	PM2A	3/8/16
A6	Dextrin		0.083		WT	PM2A	3/8/16
A7	Gelatin		0.139		WT	PM2A	3/8/16
A8	Glycogen		0.13		WT	PM2A	3/8/16
A9	Inulin		0.261		WT	PM2A	3/8/16
A10	Laminarin		0.207		WT	PM2A	3/8/16
A11	Mannan		0.096		WT	PM2A	3/8/16
A12	Pectin		0.222		WT	PM2A	3/8/16
B1	N-Acetyl-D-Galactosamine		0.404		WT	PM2A	3/8/16
B2	N-Acetyl-Neuraminic Acid		0.383		WT	PM2A	3/8/16
B3	b-D-Allose		0.359		WT	PM2A	3/8/16
B4	Amygdalin		0.242		WT	PM2A	3/8/16
B5	D-Arabinose		0.283		WT	PM2A	3/8/16
B6	D-Arabitol		0.439		WT	PM2A	3/8/16
B7	L-Arabitol		0.374		WT	PM2A	3/8/16
B8	Arbutin		0.323		WT	PM2A	3/8/16
B9	2-Deoxy-D-Ribose		0.199		WT	PM2A	3/8/16
B10	I-Erythritol		0.33		WT	PM2A	3/8/16
B11	D-Fucose		0.404		WT	PM2A	3/8/16
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.387		WT	PM2A	3/8/16
C1	Gentiobiose		0.361		WT	PM2A	3/8/16
C2	L-Glucose		0.405		WT	PM2A	3/8/16
C3	Lactitol		0.27		WT	PM2A	3/8/16
C4	D-Melezitose		0.307		WT	PM2A	3/8/16
C5	Maltitol		0.295		WT	PM2A	3/8/16
C6	a-Methyl-D-Glucoside		0.31		WT	PM2A	3/8/16
C7	b-Methyl-D-Gactoside		0.336		WT	PM2A	3/8/16
C8	3-Methyl-Glucose		0.303		WT	PM2A	3/8/16
C9	b-Methyl-D-Glucuronic Acid		0.398		WT	PM2A	3/8/16
C10	a-Methyl-D-Mannoside		0.319		WT	PM2A	3/8/16
C11	b-Methyl-D-Xyloside		0.41		WT	PM2A	3/8/16
C12	Palatinose		0.377		WT	PM2A	3/8/16
D1	D-Raffinose		0.432		WT	PM2A	3/8/16
D2	Salicin		0.362		WT	PM2A	3/8/16
D3	Sedoheptulosa		0.291		WT	PM2A	3/8/16
D4	L-Sorbose		0.269		WT	PM2A	3/8/16
D5	Stachyose		0.283		WT	PM2A	3/8/16
D6	D-Tagatose		0.232		WT	PM2A	3/8/16
D7	Turanose		0.309		WT	PM2A	3/8/16
D8	Xylitol		0.304		WT	PM2A	3/8/16
D9	N-Acetyl-D-Glucosaminatol		0.297		WT	PM2A	3/8/16
D10	g-Amino Butyric Acid		0.433		WT	PM2A	3/8/16
D11	d-Amino Valeric Acid		0.449		WT	PM2A	3/8/16
D12	Butyric Acid		0.464		WT	PM2A	3/8/16
E1	Capric Acid		0.356		WT	PM2A	3/8/16
E2	Caproic Acid		0.339		WT	PM2A	3/8/16
E3	Citraconic Acid		0.671		WT	PM2A	3/8/16
E4	Citramalic Acid		0.519		WT	PM2A	3/8/16
E5	D-Glucosamine		0.248		WT	PM2A	3/8/16
E6	2-Hydroxy Benzoic Acid		0.378		WT	PM2A	3/8/16
E7	4-Hydroxy Benzoic Acid		0.441		WT	PM2A	3/8/16
E8	b-Hydroxy Butyric Acid		0.454		WT	PM2A	3/8/16
E9	g-Hydroxy Butyric Acid		0.352		WT	PM2A	3/8/16
E10	a-Keto Valeric Acid		0.649		WT	PM2A	3/8/16
E11	Itaconic Acid		0.588		WT	PM2A	3/8/16
E12	5-Keto-D-Gluconic Acid		0.498		WT	PM2A	3/8/16
F1	D-Lactic Acid Methyl Ester		0.317		WT	PM2A	3/8/16
F2	Malonic Acid		0.459		WT	PM2A	3/8/16
F3	Melibionic Acid		0.235		WT	PM2A	3/8/16
F4	Oxalic Acid		0.388		WT	PM2A	3/8/16
F5	Oxalomalic Acid		0.48		WT	PM2A	3/8/16
F6	Quinic Acid		0.468		WT	PM2A	3/8/16
F7	"D-Ribono-1,4-Lactone"		0.362		WT	PM2A	3/8/16
F8	Sebacic Acid		0.378		WT	PM2A	3/8/16
F9	Sorbic Acid		0.275		WT	PM2A	3/8/16
F10	Succinamic Acid		0.425		WT	PM2A	3/8/16
F11	D-Tartaric Acid		0.598		WT	PM2A	3/8/16
F12	L-Tartaric Acid		0.613		WT	PM2A	3/8/16
G1	Acetamide		0.336		WT	PM2A	3/8/16
G2	L-Alaninamide		0.434		WT	PM2A	3/8/16
G3	N-Acetyl-L-Glutamic Acid		0.442		WT	PM2A	3/8/16
G4	L-Arginine		0.624		WT	PM2A	3/8/16
G5	Glycine		0.452		WT	PM2A	3/8/16
G6	L-Histidine		0.497		WT	PM2A	3/8/16
G7	L-Homoserine		0.179		WT	PM2A	3/8/16
G8	Hydroxy-L-Proline		0.597		WT	PM2A	3/8/16
G9	L-Isoleucine		0.639		WT	PM2A	3/8/16
G10	L-Leucine		0.446		WT	PM2A	3/8/16
G11	L-Lysine		0.498		WT	PM2A	3/8/16
G12	L-Methionine		0.458		WT	PM2A	3/8/16
H1	L-Ornithine		0.658		WT	PM2A	3/8/16
H2	Phenylalanine		0.335		WT	PM2A	3/8/16
H3	L-Pyroglutamic Acid		0.486		WT	PM2A	3/8/16
H4	L-Valine		0.49		WT	PM2A	3/8/16
H5	"D,L-Carnitine"		0.485		WT	PM2A	3/8/16
H6	Sec-Butylamine		0.554		WT	PM2A	3/8/16
H7	"D,L-Octopamine"		0.487		WT	PM2A	3/8/16
H8	Putrescine		0.504		WT	PM2A	3/8/16
H9	Dihydroxy Acetone		0.332		WT	PM2A	3/8/16
H10	"2,3-Butanediol"		0.42		WT	PM2A	3/8/16
H11	"2,3-Butanone"		0.196		WT	PM2A	3/8/16
H12	3-Hydroxy 2-Butanone		0.45		WT	PM2A	3/8/16
A1	Negative Control		0.321		4150	PM2A	3/8/16
A2	Chondroitin Sulfate C		0.297		4150	PM2A	3/8/16
A3	a-Cyclodextrin		0.475		4150	PM2A	3/8/16
A4	b-Cyclodextrin		0.375		4150	PM2A	3/8/16
A5	g-Cyclodextrin		0.358		4150	PM2A	3/8/16
A6	Dextrin		0.07		4150	PM2A	3/8/16
A7	Gelatin		0.14		4150	PM2A	3/8/16
A8	Glycogen		0.132		4150	PM2A	3/8/16
A9	Inulin		0.342		4150	PM2A	3/8/16
A10	Laminarin		0.309		4150	PM2A	3/8/16
A11	Mannan		0.088		4150	PM2A	3/8/16
A12	Pectin		0.168		4150	PM2A	3/8/16
B1	N-Acetyl-D-Galactosamine		0.415		4150	PM2A	3/8/16
B2	N-Acetyl-Neuraminic Acid		0.428		4150	PM2A	3/8/16
B3	b-D-Allose		0.294		4150	PM2A	3/8/16
B4	Amygdalin		0.222		4150	PM2A	3/8/16
B5	D-Arabinose		0.282		4150	PM2A	3/8/16
B6	D-Arabitol		0.513		4150	PM2A	3/8/16
B7	L-Arabitol		0.384		4150	PM2A	3/8/16
B8	Arbutin		0.38		4150	PM2A	3/8/16
B9	2-Deoxy-D-Ribose		0.175		4150	PM2A	3/8/16
B10	I-Erythritol		0.382		4150	PM2A	3/8/16
B11	D-Fucose		0.37		4150	PM2A	3/8/16
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.4		4150	PM2A	3/8/16
C1	Gentiobiose		0.367		4150	PM2A	3/8/16
C2	L-Glucose		0.346		4150	PM2A	3/8/16
C3	Lactitol		0.254		4150	PM2A	3/8/16
C4	D-Melezitose		0.259		4150	PM2A	3/8/16
C5	Maltitol		0.285		4150	PM2A	3/8/16
C6	a-Methyl-D-Glucoside		0.328		4150	PM2A	3/8/16
C7	b-Methyl-D-Gactoside		0.293		4150	PM2A	3/8/16
C8	3-Methyl-Glucose		0.331		4150	PM2A	3/8/16
C9	b-Methyl-D-Glucuronic Acid		0.342		4150	PM2A	3/8/16
C10	a-Methyl-D-Mannoside		0.341		4150	PM2A	3/8/16
C11	b-Methyl-D-Xyloside		0.39		4150	PM2A	3/8/16
C12	Palatinose		0.372		4150	PM2A	3/8/16
D1	D-Raffinose		0.371		4150	PM2A	3/8/16
D2	Salicin		0.233		4150	PM2A	3/8/16
D3	Sedoheptulosa		0.277		4150	PM2A	3/8/16
D4	L-Sorbose		0.271		4150	PM2A	3/8/16
D5	Stachyose		0.241		4150	PM2A	3/8/16
D6	D-Tagatose		0.255		4150	PM2A	3/8/16
D7	Turanose		0.292		4150	PM2A	3/8/16
D8	Xylitol		0.315		4150	PM2A	3/8/16
D9	N-Acetyl-D-Glucosaminatol		0.278		4150	PM2A	3/8/16
D10	g-Amino Butyric Acid		0.327		4150	PM2A	3/8/16
D11	d-Amino Valeric Acid		0.337		4150	PM2A	3/8/16
D12	Butyric Acid		0.456		4150	PM2A	3/8/16
E1	Capric Acid		0.326		4150	PM2A	3/8/16
E2	Caproic Acid		0.253		4150	PM2A	3/8/16
E3	Citraconic Acid		0.541		4150	PM2A	3/8/16
E4	Citramalic Acid		0.433		4150	PM2A	3/8/16
E5	D-Glucosamine		0.206		4150	PM2A	3/8/16
E6	2-Hydroxy Benzoic Acid		0.359		4150	PM2A	3/8/16
E7	4-Hydroxy Benzoic Acid		0.34		4150	PM2A	3/8/16
E8	b-Hydroxy Butyric Acid		0.337		4150	PM2A	3/8/16
E9	g-Hydroxy Butyric Acid		0.294		4150	PM2A	3/8/16
E10	a-Keto Valeric Acid		0.561		4150	PM2A	3/8/16
E11	Itaconic Acid		0.447		4150	PM2A	3/8/16
E12	5-Keto-D-Gluconic Acid		0.502		4150	PM2A	3/8/16
F1	D-Lactic Acid Methyl Ester		0.244		4150	PM2A	3/8/16
F2	Malonic Acid		0.33		4150	PM2A	3/8/16
F3	Melibionic Acid		0.156		4150	PM2A	3/8/16
F4	Oxalic Acid		0.435		4150	PM2A	3/8/16
F5	Oxalomalic Acid		0.411		4150	PM2A	3/8/16
F6	Quinic Acid		0.337		4150	PM2A	3/8/16
F7	"D-Ribono-1,4-Lactone"		0.238		4150	PM2A	3/8/16
F8	Sebacic Acid		0.291		4150	PM2A	3/8/16
F9	Sorbic Acid		0.19		4150	PM2A	3/8/16
F10	Succinamic Acid		0.284		4150	PM2A	3/8/16
F11	D-Tartaric Acid		0.613		4150	PM2A	3/8/16
F12	L-Tartaric Acid		0.596		4150	PM2A	3/8/16
G1	Acetamide		0.306		4150	PM2A	3/8/16
G2	L-Alaninamide		0.244		4150	PM2A	3/8/16
G3	N-Acetyl-L-Glutamic Acid		0.361		4150	PM2A	3/8/16
G4	L-Arginine		0.554		4150	PM2A	3/8/16
G5	Glycine		0.428		4150	PM2A	3/8/16
G6	L-Histidine		0.438		4150	PM2A	3/8/16
G7	L-Homoserine		0.194		4150	PM2A	3/8/16
G8	Hydroxy-L-Proline		0.544		4150	PM2A	3/8/16
G9	L-Isoleucine		0.599		4150	PM2A	3/8/16
G10	L-Leucine		0.393		4150	PM2A	3/8/16
G11	L-Lysine		0.445		4150	PM2A	3/8/16
G12	L-Methionine		0.458		4150	PM2A	3/8/16
H1	L-Ornithine		0.612		4150	PM2A	3/8/16
H2	Phenylalanine		0.307		4150	PM2A	3/8/16
H3	L-Pyroglutamic Acid		0.379		4150	PM2A	3/8/16
H4	L-Valine		0.435		4150	PM2A	3/8/16
H5	"D,L-Carnitine"		0.364		4150	PM2A	3/8/16
H6	Sec-Butylamine		0.443		4150	PM2A	3/8/16
H7	"D,L-Octopamine"		0.431		4150	PM2A	3/8/16
H8	Putrescine		0.419		4150	PM2A	3/8/16
H9	Dihydroxy Acetone		0.183		4150	PM2A	3/8/16
