Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date
A1	Negative Control		0.2415		WT	PM1	5/6/16
A2	L-Arabinose		0.308		WT	PM1	5/6/16
A3	N-Acetyl-D-Glucosamine		0.222		WT	PM1	5/6/16
A4	D-Saccharic Acid		0.346		WT	PM1	5/6/16
A5	Succinic Acid		0.275		WT	PM1	5/6/16
A6	D-Galactose		0.313		WT	PM1	5/6/16
A7	L-Aspartic Acid		0.435		WT	PM1	5/6/16
A8	L-Proline		0.23		WT	PM1	5/6/16
A9	D-Alanine		0.201		WT	PM1	5/6/16
A10	D-Trehalose		0.237		WT	PM1	5/6/16
A11	D-Mannose		0.287		WT	PM1	5/6/16
A12	Dulcitol		0.221		WT	PM1	5/6/16
B1	D-Serine		0.208		WT	PM1	5/6/16
B2	D-Sorbitol		0.254		WT	PM1	5/6/16
B3	Glycerol		0.216		WT	PM1	5/6/16
B4	L-Fucose		0.234		WT	PM1	5/6/16
B5	D-Glucuronic Acid		0.227		WT	PM1	5/6/16
B6	D-Gluconic Acid		0.339		WT	PM1	5/6/16
B7	"D,L-a-Glycerol-Phosphate"		0.211		WT	PM1	5/6/16
B8	D-Xylose		0.28		WT	PM1	5/6/16
B9	L-Lactic Acid		0.234		WT	PM1	5/6/16
B10	Formic Acid		0.251		WT	PM1	5/6/16
B11	D-Mannitol		0.322		WT	PM1	5/6/16
B12	L-Glutamic Acid		0.229		WT	PM1	5/6/16
C1	D-Glucose-6-Phosphate		0.328		WT	PM1	5/6/16
C2	D-Galactonic Acid-g-Lactone		0.347		WT	PM1	5/6/16
C3	"D,L-Malic Acid"		0.235		WT	PM1	5/6/16
C4	D-Ribose		0.225		WT	PM1	5/6/16
C5	Tween 20		0.027		WT	PM1	5/6/16
C6	L-Rhamnose		0.236		WT	PM1	5/6/16
C7	D-Fructose		0.239		WT	PM1	5/6/16
C8	Acetic Acid		0.201		WT	PM1	5/6/16
C9	a-D-Glucose		0.319		WT	PM1	5/6/16
C10	Maltose		0.214		WT	PM1	5/6/16
C11	D-Melibiose		0.218		WT	PM1	5/6/16
C12	Thymidine		0.24		WT	PM1	5/6/16
D1	L-Asparagine		0.332		WT	PM1	5/6/16
D2	D-Aspartic Acid		0.204		WT	PM1	5/6/16
D3	D-Glucosaminic Acid		0.303		WT	PM1	5/6/16
D4	"1,2-Propanediol"		0.215		WT	PM1	5/6/16
D5	Tween 40		0.055		WT	PM1	5/6/16
D6	a-Keto-Glutaric Acid		0.225		WT	PM1	5/6/16
D7	a-Keto-Butyric Acid		0.295		WT	PM1	5/6/16
D8	a-Methyl-D-Galactoside		0.212		WT	PM1	5/6/16
D9	a-D-Lactose		0.207		WT	PM1	5/6/16
D10	Lactulose		0.201		WT	PM1	5/6/16
D11	Sucrose		0.229		WT	PM1	5/6/16
D12	Uridine		0.203		WT	PM1	5/6/16
E1	L-Glutamine		0.273		WT	PM1	5/6/16
E2	M-Tartaric Acid		0.434		WT	PM1	5/6/16
E3	D-Glucose-1-Phosphate		0.238		WT	PM1	5/6/16
E4	D-Fructose-6-Phosphate		0.226		WT	PM1	5/6/16
E5	Tween 80		0.026		WT	PM1	5/6/16
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.217		WT	PM1	5/6/16
E7	a-Hydroxy Butyric Acid		0.31		WT	PM1	5/6/16
E8	b-Methyl-D-Glucoside		0.231		WT	PM1	5/6/16
E9	Adonitol		0.196		WT	PM1	5/6/16
E10	Maltotriose		0.195		WT	PM1	5/6/16
E11	2-Deoxy Adenosine		0.196		WT	PM1	5/6/16
E12	Adenosine		0.153		WT	PM1	5/6/16
F1	Glycil-L-Aspartic Acid		0.25		WT	PM1	5/6/16
F2	Citric Acid		0.262		WT	PM1	5/6/16
F3	M-Inositol		0.212		WT	PM1	5/6/16
F4	D-Threonine		0.294		WT	PM1	5/6/16
F5	Fumaric Acid		0.222		WT	PM1	5/6/16
F6	Bromo Succinic Acid		0.192		WT	PM1	5/6/16
F7	Propionic Acid		0.3		WT	PM1	5/6/16
F8	Mucic Acid		0.175		WT	PM1	5/6/16
F9	Glycolic Acid		0.211		WT	PM1	5/6/16
F10	Glyoxylic Acid		0.263		WT	PM1	5/6/16
F11	D-Cellobiose		0.217		WT	PM1	5/6/16
F12	Inosine		0.194		WT	PM1	5/6/16
G1	Glycil-L-Glutamic Acid		0.241		WT	PM1	5/6/16
G2	Tricarballylic Acid		0.275		WT	PM1	5/6/16
G3	L-Serine		0.263		WT	PM1	5/6/16
G4	L-Threonine		0.358		WT	PM1	5/6/16
G5	L-Alanine		0.222		WT	PM1	5/6/16
G6	L-Alanyl-Glycine		0.18		WT	PM1	5/6/16
G7	Acetoacetic Acid		0.208		WT	PM1	5/6/16
G8	N-Acetyl-b-D-Mannosamine		0.223		WT	PM1	5/6/16
G9	Mono Methyl Succinate		0.247		WT	PM1	5/6/16
G10	Methyl Pyruvate		0.177		WT	PM1	5/6/16
G11	D-Malic Acid		0.273		WT	PM1	5/6/16
G12	L-Malic Acid		0.209		WT	PM1	5/6/16
H1	Glycil-L-Proline		0.225		WT	PM1	5/6/16
H2	p-Hydroxy Phenyl Acetic Acid		0.223		WT	PM1	5/6/16
H3	m-Hydroxy Phenyl Acetic Acid		0.24		WT	PM1	5/6/16
H4	Tyramine		0.257		WT	PM1	5/6/16
H5	D-Psicose		0.212		WT	PM1	5/6/16
H6	L-Lyxose		0.221		WT	PM1	5/6/16
H7	Glucuronamide		0.192		WT	PM1	5/6/16
H8	Pyruvic Acid		0.185		WT	PM1	5/6/16
H9	L-Galactonic Acid-g-Lactone		0.199		WT	PM1	5/6/16
H10	D-Galacturonic Acid		0.229		WT	PM1	5/6/16
H11	Phenylethyl-amine		0.28		WT	PM1	5/6/16
H12	2-Aminoethanol		0.273		WT	PM1	5/6/16
A1	Negative Control		0.2798		WT	PM2A	5/6/16
A2	Chondroitin Sulfate C		0.461		WT	PM2A	5/6/16
A3	a-Cyclodextrin		0.393		WT	PM2A	5/6/16
A4	b-Cyclodextrin		0.413		WT	PM2A	5/6/16
A5	g-Cyclodextrin		0.384		WT	PM2A	5/6/16
A6	Dextrin		0.098		WT	PM2A	5/6/16
A7	Gelatin		0.089		WT	PM2A	5/6/16
A8	Glycogen		0.095		WT	PM2A	5/6/16
A9	Inulin		0.366		WT	PM2A	5/6/16
A10	Laminarin		0.254		WT	PM2A	5/6/16
A11	Mannan		0.043		WT	PM2A	5/6/16
A12	Pectin		0.162		WT	PM2A	5/6/16
B1	N-Acetyl-D-Galactosamine		0.267		WT	PM2A	5/6/16
B2	N-Acetyl-Neuraminic Acid		0.338		WT	PM2A	5/6/16
B3	b-D-Allose		0.402		WT	PM2A	5/6/16
B4	Amygdalin		0.352		WT	PM2A	5/6/16
B5	D-Arabinose		0.352		WT	PM2A	5/6/16
B6	D-Arabitol		0.378		WT	PM2A	5/6/16
B7	L-Arabitol		0.371		WT	PM2A	5/6/16
B8	Arbutin		0.374		WT	PM2A	5/6/16
B9	2-Deoxy-D-Ribose		0.27		WT	PM2A	5/6/16
B10	I-Erythritol		0.325		WT	PM2A	5/6/16
B11	D-Fucose		0.286		WT	PM2A	5/6/16
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.231		WT	PM2A	5/6/16
C1	Gentiobiose		0.25		WT	PM2A	5/6/16
C2	L-Glucose		0.339		WT	PM2A	5/6/16
C3	Lactitol		0.367		WT	PM2A	5/6/16
C4	D-Melezitose		0.377		WT	PM2A	5/6/16
C5	Maltitol		0.36		WT	PM2A	5/6/16
C6	a-Methyl-D-Glucoside		0.363		WT	PM2A	5/6/16
C7	b-Methyl-D-Gactoside		0.334		WT	PM2A	5/6/16
C8	3-Methyl-Glucose		0.351		WT	PM2A	5/6/16
C9	b-Methyl-D-Glucuronic Acid		0.431		WT	PM2A	5/6/16
C10	a-Methyl-D-Mannoside		0.329		WT	PM2A	5/6/16
C11	b-Methyl-D-Xyloside		0.284		WT	PM2A	5/6/16
C12	Palatinose		0.248		WT	PM2A	5/6/16
D1	D-Raffinose		0.267		WT	PM2A	5/6/16
D2	Salicin		0.297		WT	PM2A	5/6/16
D3	Sedoheptulosa		0.353		WT	PM2A	5/6/16
D4	L-Sorbose		0.334		WT	PM2A	5/6/16
D5	Stachyose		0.314		WT	PM2A	5/6/16
D6	D-Tagatose		0.374		WT	PM2A	5/6/16
D7	Turanose		0.33		WT	PM2A	5/6/16
D8	Xylitol		0.343		WT	PM2A	5/6/16
D9	N-Acetyl-D-Glucosaminatol		0.362		WT	PM2A	5/6/16
D10	g-Amino Butyric Acid		0.226		WT	PM2A	5/6/16
D11	d-Amino Valeric Acid		0.247		WT	PM2A	5/6/16
D12	Butyric Acid		0.323		WT	PM2A	5/6/16
E1	Capric Acid		0.252		WT	PM2A	5/6/16
E2	Caproic Acid		0.379		WT	PM2A	5/6/16
E3	Citraconic Acid		0.467		WT	PM2A	5/6/16
E4	Citramalic Acid		0.326		WT	PM2A	5/6/16
E5	D-Glucosamine		0.292		WT	PM2A	5/6/16
E6	2-Hydroxy Benzoic Acid		0.399		WT	PM2A	5/6/16
E7	4-Hydroxy Benzoic Acid		0.327		WT	PM2A	5/6/16
