Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date	Biofilm Width	Bottom of well	Biofilm intensity	Biofilm/Growth	General Notes
A1	Negative Control		0.2656		WT	PM2A	5/7/16					
A2	Chondroitin Sulfate C		0.3642		WT	PM2A	5/7/16					
A3	a-Cyclodextrin		0.2976		WT	PM2A	5/7/16					
A4	b-Cyclodextrin		0.2855		WT	PM2A	5/7/16					
A5	g-Cyclodextrin		0.2425		WT	PM2A	5/7/16					
A6	Dextrin		0.1013		WT	PM2A	5/7/16					
A7	Gelatin		0.1466		WT	PM2A	5/7/16					
A8	Glycogen		0.1428		WT	PM2A	5/7/16					
A9	Inulin		0.2084		WT	PM2A	5/7/16					
A10	Laminarin		0.2292		WT	PM2A	5/7/16					
A11	Mannan		0.1239		WT	PM2A	5/7/16					
A12	Pectin		0.2085		WT	PM2A	5/7/16					
B1	N-Acetyl-D-Galactosamine		0.2452		WT	PM2A	5/7/16					
B2	N-Acetyl-Neuraminic Acid		0.285		WT	PM2A	5/7/16					
B3	b-D-Allose		0.3025		WT	PM2A	5/7/16					
B4	Amygdalin		0.2298		WT	PM2A	5/7/16					
B5	D-Arabinose		0.2697		WT	PM2A	5/7/16					
B6	D-Arabitol		0.286		WT	PM2A	5/7/16					
B7	L-Arabitol		0.234		WT	PM2A	5/7/16					
B8	Arbutin		0.2254		WT	PM2A	5/7/16					
B9	2-Deoxy-D-Ribose		0.2347		WT	PM2A	5/7/16					
B10	I-Erythritol		0.2513		WT	PM2A	5/7/16					
B11	D-Fucose		0.2406		WT	PM2A	5/7/16					
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.2009		WT	PM2A	5/7/16					
C1	Gentiobiose		0.2689		WT	PM2A	5/7/16					
C2	L-Glucose		0.3154		WT	PM2A	5/7/16					
C3	Lactitol		0.2428		WT	PM2A	5/7/16					
C4	D-Melezitose		0.2444		WT	PM2A	5/7/16					
C5	Maltitol		0.2221		WT	PM2A	5/7/16					
C6	a-Methyl-D-Glucoside		0.2194		WT	PM2A	5/7/16					
C7	b-Methyl-D-Gactoside		0.2171		WT	PM2A	5/7/16					
C8	3-Methyl-Glucose		0.1946		WT	PM2A	5/7/16					
C9	b-Methyl-D-Glucuronic Acid		0.2304		WT	PM2A	5/7/16					
C10	a-Methyl-D-Mannoside		0.2401		WT	PM2A	5/7/16					
C11	b-Methyl-D-Xyloside		0.2319		WT	PM2A	5/7/16					
C12	Palatinose		0.2327		WT	PM2A	5/7/16					
D1	D-Raffinose		0.2686		WT	PM2A	5/7/16					
D2	Salicin		0.2104		WT	PM2A	5/7/16					
D3	Sedoheptulosa		0.2337		WT	PM2A	5/7/16					
D4	L-Sorbose		0.229		WT	PM2A	5/7/16					
D5	Stachyose		0.221		WT	PM2A	5/7/16					
D6	D-Tagatose		0.1955		WT	PM2A	5/7/16					
D7	Turanose		0.2388		WT	PM2A	5/7/16					
D8	Xylitol		0.2206		WT	PM2A	5/7/16					
D9	N-Acetyl-D-Glucosaminatol		0.2027		WT	PM2A	5/7/16					
D10	g-Amino Butyric Acid		0.3064		WT	PM2A	5/7/16					
D11	d-Amino Valeric Acid		0.2199		WT	PM2A	5/7/16					
