Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date
A1	Negative Control		0.541		WT	PM1	5/4/17
A2	L-Arabinose		0.579		WT	PM1	5/4/17
A3	N-Acetyl-D-Glucosamine		0.556		WT	PM1	5/4/17
A4	D-Saccharic Acid		0.774		WT	PM1	5/4/17
A5	Succinic Acid		0.537		WT	PM1	5/4/17
A6	D-Galactose		0.645		WT	PM1	5/4/17
A7	L-Aspartic Acid		0.559		WT	PM1	5/4/17
A8	L-Proline		0.542		WT	PM1	5/4/17
A9	D-Alanine		0.52		WT	PM1	5/4/17
A10	D-Trehalose		0.619		WT	PM1	5/4/17
A11	D-Mannose		0.637		WT	PM1	5/4/17
A12	Dulcitol		0.657		WT	PM1	5/4/17
B1	D-Serine		0.343		WT	PM1	5/4/17
B2	D-Sorbitol		0.484		WT	PM1	5/4/17
B3	Glycerol		0.49		WT	PM1	5/4/17
B4	L-Fucose		0.574		WT	PM1	5/4/17
B5	D-Glucuronic Acid		0.594		WT	PM1	5/4/17
B6	D-Gluconic Acid		0.704		WT	PM1	5/4/17
B7	"D,L-a-Glycerol-Phosphate"		0.584		WT	PM1	5/4/17
B8	D-Xylose		0.706		WT	PM1	5/4/17
B9	L-Lactic Acid		0.594		WT	PM1	5/4/17
B10	Formic Acid		0.724		WT	PM1	5/4/17
B11	D-Mannitol		0.744		WT	PM1	5/4/17
B12	L-Glutamic Acid		0.67		WT	PM1	5/4/17
C1	D-Glucose-6-Phosphate		0.568		WT	PM1	5/4/17
C2	D-Galactonic Acid-g-Lactone		0.44		WT	PM1	5/4/17
C3	"D,L-Malic Acid"		0.501		WT	PM1	5/4/17
C4	D-Ribose		0.72		WT	PM1	5/4/17
C5	Tween 20		0.021		WT	PM1	5/4/17
C6	L-Rhamnose		0.571		WT	PM1	5/4/17
C7	D-Fructose		0.593		WT	PM1	5/4/17
C8	Acetic Acid		0.686		WT	PM1	5/4/17
C9	a-D-Glucose		0.671		WT	PM1	5/4/17
C10	Maltose		0.636		WT	PM1	5/4/17
C11	D-Melibiose		0.663		WT	PM1	5/4/17
C12	Thymidine		0.64		WT	PM1	5/4/17
D1	L-Asparagine		0.549		WT	PM1	5/4/17
D2	D-Aspartic Acid		0.367		WT	PM1	5/4/17
D3	D-Glucosaminic Acid		0.495		WT	PM1	5/4/17
D4	"1,2-Propanediol"		0.511		WT	PM1	5/4/17
D5	Tween 40		0.021		WT	PM1	5/4/17
D6	a-Keto-Glutaric Acid		0.407		WT	PM1	5/4/17
D7	a-Keto-Butyric Acid		0.667		WT	PM1	5/4/17
D8	a-Methyl-D-Galactoside		0.538		WT	PM1	5/4/17
D9	a-D-Lactose		0.582		WT	PM1	5/4/17
D10	Lactulose		0.615		WT	PM1	5/4/17
D11	Sucrose		0.639		WT	PM1	5/4/17
D12	Uridine		0.586		WT	PM1	5/4/17
E1	L-Glutamine		0.596		WT	PM1	5/4/17
E2	M-Tartaric Acid		0.546		WT	PM1	5/4/17
E3	D-Glucose-1-Phosphate		0.455		WT	PM1	5/4/17
E4	D-Fructose-6-Phosphate		0.517		WT	PM1	5/4/17
E5	Tween 80		0.019		WT	PM1	5/4/17
