Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date	Biofilm Width	Bottom of well	Biofilm intensity	Biofilm/Growth	General Notes
A1	Negative Control		0.313		WT		7/19/2016					
A2	L-Arabinose		0.407		WT		7/19/2016					
A3	N-Acetyl-D-Glucosamine		0.243		WT		7/19/2016					
A4	D-Saccharic Acid		0.431		WT		7/19/2016					
A5	Succinic Acid		0.377		WT		7/19/2016					
A6	D-Galactose		0.369		WT		7/19/2016					
A7	L-Aspartic Acid		0.483		WT		7/19/2016					
A8	L-Proline		0.38		WT		7/19/2016					
A9	D-Alanine		0.314		WT		7/19/2016					
A10	D-Trehalose		0.306		WT		7/19/2016					
A11	D-Mannose		0.447		WT		7/19/2016					
A12	Dulcitol		0.292		WT		7/19/2016					
B1	D-Serine		0.304		WT		7/19/2016					
B2	D-Sorbitol		0.299		WT		7/19/2016					
B3	Glycerol		0.307		WT		7/19/2016					
B4	L-Fucose		0.29		WT		7/19/2016					
B5	D-Glucuronic Acid		0.295		WT		7/19/2016					
B6	D-Gluconic Acid		0.497		WT		7/19/2016					
B7	"D,L-a-Glycerol-Phosphate"		0.253		WT		7/19/2016					
B8	D-Xylose		0.395		WT		7/19/2016					
B9	L-Lactic Acid		0.366		WT		7/19/2016					
B10	Formic Acid		0.412		WT		7/19/2016					
B11	D-Mannitol		0.503		WT		7/19/2016					
B12	L-Glutamic Acid		0.415		WT		7/19/2016					
C1	D-Glucose-6-Phosphate		0.412		WT		7/19/2016					
C2	D-Galactonic Acid-g-Lactone		0.465		WT		7/19/2016					
C3	"D,L-Malic Acid"		0.367		WT		7/19/2016					
C4	D-Ribose		0.327		WT		7/19/2016					
C5	Tween 20		0.023		WT		7/19/2016					
C6	L-Rhamnose		0.297		WT		7/19/2016					
C7	D-Fructose		0.337		WT		7/19/2016					
C8	Acetic Acid		0.343		WT		7/19/2016					
C9	a-D-Glucose		0.46		WT		7/19/2016					
C10	Maltose		0.295		WT		7/19/2016					
C11	D-Melibiose		0.301		WT		7/19/2016					
C12	Thymidine		0.288		WT		7/19/2016					
D1	L-Asparagine		0.433		WT		7/19/2016					
D2	D-Aspartic Acid		0.228		WT		7/19/2016					
D3	D-Glucosaminic Acid		0.41		WT		7/19/2016					
D4	"1,2-Propanediol"		0.27		WT		7/19/2016					
D5	Tween 40		0.161		WT		7/19/2016					
D6	a-Keto-Glutaric Acid		0.343		WT		7/19/2016					
D7	a-Keto-Butyric Acid		0.307		WT		7/19/2016					
D8	a-Methyl-D-Galactoside		0.27		WT		7/19/2016					
D9	a-D-Lactose		0.286		WT		7/19/2016					
D10	Lactulose		0.31		WT		7/19/2016					
D11	Sucrose		0.31		WT		7/19/2016					
D12	Uridine		0.215		WT		7/19/2016					
E1	L-Glutamine		0.446		WT		7/19/2016					
E2	M-Tartaric Acid		0.522		WT		7/19/2016					
E3	D-Glucose-1-Phosphate		0.29		WT		7/19/2016					
E4	D-Fructose-6-Phosphate		0.232		WT		7/19/2016					
E5	Tween 80		0.017		WT		7/19/2016					
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.268		WT		7/19/2016					
E7	a-Hydroxy Butyric Acid		0.474		WT		7/19/2016					
E8	b-Methyl-D-Glucoside		0.279		WT		7/19/2016					
E9	Adonitol		0.281		WT		7/19/2016					
E10	Maltotriose		0.307		WT		7/19/2016					
E11	2-Deoxy Adenosine		0.265		WT		7/19/2016					
E12	Adenosine		0.201		WT		7/19/2016					
F1	Glycil-L-Aspartic Acid		0.368		WT		7/19/2016					
F2	Citric Acid		0.419		WT		7/19/2016					
F3	M-Inositol		0.298		WT		7/19/2016					
F4	D-Threonine		0.429		WT		7/19/2016					
F5	Fumaric Acid		0.358		WT		7/19/2016					
F6	Bromo Succinic Acid		0.354		WT		7/19/2016					
F7	Propionic Acid		0.389		WT		7/19/2016					
F8	Mucic Acid		0.227		WT		7/19/2016					
F9	Glycolic Acid		0.308		WT		7/19/2016					
F10	Glyoxylic Acid		0.334		WT		7/19/2016					
F11	D-Cellobiose		0.311		WT		7/19/2016					
F12	Inosine		0.218		WT		7/19/2016					
G1	Glycil-L-Glutamic Acid		0.322		WT		7/19/2016					
G2	Tricarballylic Acid		0.332		WT		7/19/2016					
G3	L-Serine		0.475		WT		7/19/2016					
G4	L-Threonine		0.411		WT		7/19/2016					
G5	L-Alanine		0.365		WT		7/19/2016					
G6	L-Alanyl-Glycine		0.239		WT		7/19/2016					
G7	Acetoacetic Acid		0.308		WT		7/19/2016					
G8	N-Acetyl-b-D-Mannosamine		0.285		WT		7/19/2016					
G9	Mono Methyl Succinate		0.307		WT		7/19/2016					
G10	Methyl Pyruvate		0.268		WT		7/19/2016					
G11	D-Malic Acid		0.325		WT		7/19/2016					
G12	L-Malic Acid		0.338		WT		7/19/2016					
H1	Glycil-L-Proline		0.284		WT		7/19/2016					
H2	p-Hydroxy Phenyl Acetic Acid		0.286		WT		7/19/2016					
H3	m-Hydroxy Phenyl Acetic Acid		0.288		WT		7/19/2016					
H4	Tyramine		0.386		WT		7/19/2016					
H5	D-Psicose		0.298		WT		7/19/2016					
H6	L-Lyxose		0.346		WT		7/19/2016					
H7	Glucuronamide		0.274		WT		7/19/2016					
H8	Pyruvic Acid		0.287		WT		7/19/2016					
H9	L-Galactonic Acid-g-Lactone		0.323		WT		7/19/2016					
H10	D-Galacturonic Acid		0.386		WT		7/19/2016					
H11	Phenylethyl-amine		0.391		WT		7/19/2016					
H12	2-Aminoethanol		0.409		WT		7/19/2016					
A1	Negative Control		0.389		WT		7/19/2016					
A2	Chondroitin Sulfate C		0.404		WT		7/19/2016					
A3	a-Cyclodextrin		0.404		WT		7/19/2016					
A4	b-Cyclodextrin		0.473		WT		7/19/2016					
A5	g-Cyclodextrin		0.371		WT		7/19/2016					
A6	Dextrin		0.139		WT		7/19/2016					
A7	Gelatin		0.317		WT		7/19/2016					
A8	Glycogen		0.227		WT		7/19/2016					
A9	Inulin		0.313		WT		7/19/2016					
A10	Laminarin		0.367		WT		7/19/2016					
A11	Mannan		0.153		WT		7/19/2016					
A12	Pectin		0.353		WT		7/19/2016					
B1	N-Acetyl-D-Galactosamine		0.36		WT		7/19/2016					
B2	N-Acetyl-Neuraminic Acid		0.432		WT		7/19/2016					
B3	b-D-Allose		0.477		WT		7/19/2016					
B4	Amygdalin		0.344		WT		7/19/2016					
B5	D-Arabinose		0.434		WT		7/19/2016					
B6	D-Arabitol		0.538		WT		7/19/2016					
B7	L-Arabitol		0.399		WT		7/19/2016					
B8	Arbutin		0.34		WT		7/19/2016					
B9	2-Deoxy-D-Ribose		0.309		WT		7/19/2016					
B10	I-Erythritol		0.407		WT		7/19/2016					
B11	D-Fucose		0.418		WT		7/19/2016					
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.253		WT		7/19/2016					
C1	Gentiobiose		0.353		WT		7/19/2016					
C2	L-Glucose		0.487		WT		7/19/2016					
C3	Lactitol		0.304		WT		7/19/2016					
C4	D-Melezitose		0.356		WT		7/19/2016					
C5	Maltitol		0.314		WT		7/19/2016					
C6	a-Methyl-D-Glucoside		0.347		WT		7/19/2016					
C7	b-Methyl-D-Gactoside		0.373		WT		7/19/2016					
C8	3-Methyl-Glucose		0.293		WT		7/19/2016					
C9	b-Methyl-D-Glucuronic Acid		0.347		WT		7/19/2016					
C10	a-Methyl-D-Mannoside		0.382		WT		7/19/2016					
C11	b-Methyl-D-Xyloside		0.388		WT		7/19/2016					
C12	Palatinose		0.344		WT		7/19/2016					
D1	D-Raffinose		0.398		WT		7/19/2016					
D2	Salicin		0.34		WT		7/19/2016					
D3	Sedoheptulosa		0.311		WT		7/19/2016					
D4	L-Sorbose		0.36		WT		7/19/2016					
D5	Stachyose		0.288		WT		7/19/2016					
D6	D-Tagatose		0.333		WT		7/19/2016					
D7	Turanose		0.346		WT		7/19/2016					
D8	Xylitol		0.311		WT		7/19/2016					
D9	N-Acetyl-D-Glucosaminatol		0.273		WT		7/19/2016					
D10	g-Amino Butyric Acid		0.393		WT		7/19/2016					
D11	d-Amino Valeric Acid		0.353		WT		7/19/2016					
D12	Butyric Acid		0.478		WT		7/19/2016					
E1	Capric Acid		0.311		WT		7/19/2016					
E2	Caproic Acid		0.356		WT		7/19/2016					
E3	Citraconic Acid		0.506		WT		7/19/2016					
E4	Citramalic Acid		0.359		WT		7/19/2016					
E5	D-Glucosamine		0.315		WT		7/19/2016					
E6	2-Hydroxy Benzoic Acid		0.469		WT		7/19/2016					
E7	4-Hydroxy Benzoic Acid		0.269		WT		7/19/2016					
E8	b-Hydroxy Butyric Acid		0.416		WT		7/19/2016					
E9	g-Hydroxy Butyric Acid		0.446		WT		7/19/2016					
E10	a-Keto Valeric Acid		0.415		WT		7/19/2016					
E11	Itaconic Acid		0.454		WT		7/19/2016					
E12	5-Keto-D-Gluconic Acid		0.404		WT		7/19/2016					
F1	D-Lactic Acid Methyl Ester		0.418		WT		7/19/2016					
F2	Malonic Acid		0.376		WT		7/19/2016					
F3	Melibionic Acid		0.205		WT		7/19/2016					
F4	Oxalic Acid		0.324		WT		7/19/2016					
F5	Oxalomalic Acid		0.351		WT		7/19/2016					
F6	Quinic Acid		0.396		WT		7/19/2016					
F7	"D-Ribono-1,4-Lactone"		0.351		WT		7/19/2016					
F8	Sebacic Acid		0.284		WT		7/19/2016					
F9	Sorbic Acid		0.495		WT		7/19/2016					
F10	Succinamic Acid		0.281		WT		7/19/2016					
F11	D-Tartaric Acid		0.487		WT		7/19/2016					
F12	L-Tartaric Acid		0.467		WT		7/19/2016					
G1	Acetamide		0.394		WT		7/19/2016					
G2	L-Alaninamide		0.307		WT		7/19/2016					
G3	N-Acetyl-L-Glutamic Acid		0.414		WT		7/19/2016					
G4	L-Arginine		0.524		WT		7/19/2016					
G5	Glycine		0.384		WT		7/19/2016					
G6	L-Histidine		0.431		WT		7/19/2016					
G7	L-Homoserine		0.386		WT		7/19/2016					
G8	Hydroxy-L-Proline		0.517		WT		7/19/2016					
G9	L-Isoleucine		0.535		WT		7/19/2016					
G10	L-Leucine		0.326		WT		7/19/2016					
G11	L-Lysine		0.538		WT		7/19/2016					
G12	L-Methionine		0.513		WT		7/19/2016					
H1	L-Ornithine		0.623		WT		7/19/2016					
H2	Phenylalanine		0.293		WT		7/19/2016					
H3	L-Pyroglutamic Acid		0.422		WT		7/19/2016					
H4	L-Valine		0.371		WT		7/19/2016					
H5	"D,L-Carnitine"		0.373		WT		7/19/2016					
H6	Sec-Butylamine		0.477		WT		7/19/2016					
H7	"D,L-Octopamine"		0.33		WT		7/19/2016					
H8	Putrescine		0.43		WT		7/19/2016					
H9	Dihydroxy Acetone		0.396		WT		7/19/2016					
H10	"2,3-Butanediol"		0.342		WT		7/19/2016					
H11	"2,3-Butanone"		0.313		WT		7/19/2016					
H12	3-Hydroxy 2-Butanone		0.422		WT		7/19/2016					
A1	Negative Control		0.446		0050		7/19/2016					
A2	L-Arabinose		0.525		0050		7/19/2016					
A3	N-Acetyl-D-Glucosamine		0.362		0050		7/19/2016					
A4	D-Saccharic Acid		0.458		0050		7/19/2016					
A5	Succinic Acid		0.352		0050		7/19/2016					
A6	D-Galactose		0.421		0050		7/19/2016					
A7	L-Aspartic Acid		0.37		0050		7/19/2016					
A8	L-Proline		0.346		0050		7/19/2016					
A9	D-Alanine		0.339		0050		7/19/2016					
A10	D-Trehalose		0.402		0050		7/19/2016					
