Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date	Biofilm Width	Bottom of well	Biofilm intensity	Biofilm/Growth	General Notes
A1	Negative Control		0.3328		WT	PM2A	3/1/16					
A2	Chondroitin Sulfate C		0.175		WT	PM2A	3/1/16					
A3	a-Cyclodextrin		0.3692		WT	PM2A	3/1/16					
A4	b-Cyclodextrin		0.3223		WT	PM2A	3/1/16					
A5	g-Cyclodextrin		0.3297		WT	PM2A	3/1/16					
A6	Dextrin		0.0524		WT	PM2A	3/1/16					
A7	Gelatin		0.1116		WT	PM2A	3/1/16					
A8	Glycogen		0.0906		WT	PM2A	3/1/16					
A9	Inulin		0.2462		WT	PM2A	3/1/16					
A10	Laminarin		0.2467		WT	PM2A	3/1/16					
A11	Mannan		0.0677		WT	PM2A	3/1/16					
A12	Pectin		0.128		WT	PM2A	3/1/16					
B1	N-Acetyl-D-Galactosamine		0.3604		WT	PM2A	3/1/16					
B2	N-Acetyl-Neuraminic Acid		0.3979		WT	PM2A	3/1/16					
B3	b-D-Allose		0.3923		WT	PM2A	3/1/16					
B4	Amygdalin		0.2305		WT	PM2A	3/1/16					
B5	D-Arabinose		0.3651		WT	PM2A	3/1/16					
B6	D-Arabitol		0.3567		WT	PM2A	3/1/16					
B7	L-Arabitol		0.3178		WT	PM2A	3/1/16					
B8	Arbutin		0.3344		WT	PM2A	3/1/16					
B9	2-Deoxy-D-Ribose		0.1417		WT	PM2A	3/1/16					
B10	I-Erythritol		0.3248		WT	PM2A	3/1/16					
B11	D-Fucose		0.2306		WT	PM2A	3/1/16					
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.3312		WT	PM2A	3/1/16					
C1	Gentiobiose		0.3837		WT	PM2A	3/1/16					
C2	L-Glucose		0.3485		WT	PM2A	3/1/16					
C3	Lactitol		0.3194		WT	PM2A	3/1/16					
C4	D-Melezitose		0.3043		WT	PM2A	3/1/16					
C5	Maltitol		0.3124		WT	PM2A	3/1/16					
C6	a-Methyl-D-Glucoside		0.3048		WT	PM2A	3/1/16					
C7	b-Methyl-D-Gactoside		0.2967		WT	PM2A	3/1/16					
C8	3-Methyl-Glucose		0.2669		WT	PM2A	3/1/16					
C9	b-Methyl-D-Glucuronic Acid		0.3316		WT	PM2A	3/1/16					
C10	a-Methyl-D-Mannoside		0.3423		WT	PM2A	3/1/16					
C11	b-Methyl-D-Xyloside		0.3268		WT	PM2A	3/1/16					
C12	Palatinose		0.3746		WT	PM2A	3/1/16					
D1	D-Raffinose		0.3304		WT	PM2A	3/1/16					
D2	Salicin		0.3102		WT	PM2A	3/1/16					
D3	Sedoheptulosa		0.3151		WT	PM2A	3/1/16					
D4	L-Sorbose		0.3291		WT	PM2A	3/1/16					
D5	Stachyose		0.3083		WT	PM2A	3/1/16					
D6	D-Tagatose		0.3385		WT	PM2A	3/1/16					
D7	Turanose		0.2944		WT	PM2A	3/1/16					
D8	Xylitol		0.2881		WT	PM2A	3/1/16					
D9	N-Acetyl-D-Glucosaminatol		0.2425		WT	PM2A	3/1/16					
D10	g-Amino Butyric Acid		0.2813		WT	PM2A	3/1/16					
D11	d-Amino Valeric Acid		0.2941		WT	PM2A	3/1/16					
D12	Butyric Acid		0.4087		WT	PM2A	3/1/16					
E1	Capric Acid		0.1673		WT	PM2A	3/1/16					
E2	Caproic Acid		0.2305		WT	PM2A	3/1/16					
E3	Citraconic Acid		0.5868		WT	PM2A	3/1/16					
E4	Citramalic Acid		0.302		WT	PM2A	3/1/16					
E5	D-Glucosamine		0.301		WT	PM2A	3/1/16					
E6	2-Hydroxy Benzoic Acid		0.3486		WT	PM2A	3/1/16					
E7	4-Hydroxy Benzoic Acid		0.3536		WT	PM2A	3/1/16					
E8	b-Hydroxy Butyric Acid		0.3263		WT	PM2A	3/1/16					
E9	g-Hydroxy Butyric Acid		0.312		WT	PM2A	3/1/16					
E10	a-Keto Valeric Acid		0.4931		WT	PM2A	3/1/16					
E11	Itaconic Acid		0.409		WT	PM2A	3/1/16					
E12	5-Keto-D-Gluconic Acid		0.3382		WT	PM2A	3/1/16					
F1	D-Lactic Acid Methyl Ester		0.3186		WT	PM2A	3/1/16					
F2	Malonic Acid		0.3555		WT	PM2A	3/1/16					
F3	Melibionic Acid		0.2242		WT	PM2A	3/1/16					
F4	Oxalic Acid		0.3567		WT	PM2A	3/1/16					
F5	Oxalomalic Acid		0.3484		WT	PM2A	3/1/16					
F6	Quinic Acid		0.3201		WT	PM2A	3/1/16					
F7	"D-Ribono-1,4-Lactone"		0.3753		WT	PM2A	3/1/16					
F8	Sebacic Acid		0.3407		WT	PM2A	3/1/16					
F9	Sorbic Acid		0.1471		WT	PM2A	3/1/16					
F10	Succinamic Acid		0.2821		WT	PM2A	3/1/16					
F11	D-Tartaric Acid		0.4494		WT	PM2A	3/1/16					
F12	L-Tartaric Acid		0.4181		WT	PM2A	3/1/16					
G1	Acetamide		0.3641		WT	PM2A	3/1/16					
G2	L-Alaninamide		0.3362		WT	PM2A	3/1/16					
G3	N-Acetyl-L-Glutamic Acid		0.4402		WT	PM2A	3/1/16					
G4	L-Arginine		0.4604		WT	PM2A	3/1/16					
G5	Glycine		0.3838		WT	PM2A	3/1/16					
G6	L-Histidine		0.3661		WT	PM2A	3/1/16					
G7	L-Homoserine		0.0657		WT	PM2A	3/1/16					
G8	Hydroxy-L-Proline		0.389		WT	PM2A	3/1/16					
G9	L-Isoleucine		0.5259		WT	PM2A	3/1/16					
G10	L-Leucine		0.3576		WT	PM2A	3/1/16					
G11	L-Lysine		0.4925		WT	PM2A	3/1/16					
G12	L-Methionine		0.3439		WT	PM2A	3/1/16					
H1	L-Ornithine		0.5816		WT	PM2A	3/1/16					
H2	Phenylalanine		0.2805		WT	PM2A	3/1/16					
H3	L-Pyroglutamic Acid		0.3439		WT	PM2A	3/1/16					
H4	L-Valine		0.3603		WT	PM2A	3/1/16					
H5	"D,L-Carnitine"		0.4051		WT	PM2A	3/1/16					
H6	Sec-Butylamine		0.4253		WT	PM2A	3/1/16					
H7	"D,L-Octopamine"		0.4293		WT	PM2A	3/1/16					
H8	Putrescine		0.3727		WT	PM2A	3/1/16					
H9	Dihydroxy Acetone		0.1793		WT	PM2A	3/1/16					
H10	"2,3-Butanediol"		0.3973		WT	PM2A	3/1/16					
H11	"2,3-Butanone"		0.1928		WT	PM2A	3/1/16					
H12	3-Hydroxy 2-Butanone		0.3019		WT	PM2A	3/1/16					
A1	Negative Control		0.5604		0264	PM2A	3/1/16					
A2	Chondroitin Sulfate C		0.3921		0264	PM2A	3/1/16					
A3	a-Cyclodextrin		0.6483		0264	PM2A	3/1/16					
A4	b-Cyclodextrin		0.6326		0264	PM2A	3/1/16					
A5	g-Cyclodextrin		0.5448		0264	PM2A	3/1/16					
