Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date
A1	Negative Control		0.323		WT	PM1	3/8/16
A2	L-Arabinose		0.354		WT	PM1	3/8/16
A3	N-Acetyl-D-Glucosamine		0.371		WT	PM1	3/8/16
A4	D-Saccharic Acid		0.533		WT	PM1	3/8/16
A5	Succinic Acid		0.459		WT	PM1	3/8/16
A6	D-Galactose		0.398		WT	PM1	3/8/16
A7	L-Aspartic Acid		0.541		WT	PM1	3/8/16
A8	L-Proline		0.446		WT	PM1	3/8/16
A9	D-Alanine		0.268		WT	PM1	3/8/16
A10	D-Trehalose		0.327		WT	PM1	3/8/16
A11	D-Mannose		0.459		WT	PM1	3/8/16
A12	Dulcitol		0.414		WT	PM1	3/8/16
B1	D-Serine		0.159		WT	PM1	3/8/16
B2	D-Sorbitol		0.35		WT	PM1	3/8/16
B3	Glycerol		0.259		WT	PM1	3/8/16
B4	L-Fucose		0.364		WT	PM1	3/8/16
B5	D-Glucuronic Acid		0.447		WT	PM1	3/8/16
B6	D-Gluconic Acid		0.521		WT	PM1	3/8/16
B7	"D,L-a-Glycerol-Phosphate"		0.344		WT	PM1	3/8/16
B8	D-Xylose		0.386		WT	PM1	3/8/16
B9	L-Lactic Acid		0.409		WT	PM1	3/8/16
B10	Formic Acid		0.378		WT	PM1	3/8/16
B11	D-Mannitol		0.517		WT	PM1	3/8/16
B12	L-Glutamic Acid		0.562		WT	PM1	3/8/16
C1	D-Glucose-6-Phosphate		0.521		WT	PM1	3/8/16
C2	D-Galactonic Acid-g-Lactone		0.417		WT	PM1	3/8/16
C3	"D,L-Malic Acid"		0.52		WT	PM1	3/8/16
C4	D-Ribose		0.374		WT	PM1	3/8/16
C5	Tween 20		0.024		WT	PM1	3/8/16
C6	L-Rhamnose		0.355		WT	PM1	3/8/16
C7	D-Fructose		0.361		WT	PM1	3/8/16
C8	Acetic Acid		0.426		WT	PM1	3/8/16
C9	a-D-Glucose		0.557		WT	PM1	3/8/16
C10	Maltose		0.402		WT	PM1	3/8/16
C11	D-Melibiose		0.405		WT	PM1	3/8/16
C12	Thymidine		0.423		WT	PM1	3/8/16
D1	L-Asparagine		0.433		WT	PM1	3/8/16
D2	D-Aspartic Acid		0.3		WT	PM1	3/8/16
D3	D-Glucosaminic Acid		0.591		WT	PM1	3/8/16
D4	"1,2-Propanediol"		0.343		WT	PM1	3/8/16
D5	Tween 40		0.021		WT	PM1	3/8/16
D6	a-Keto-Glutaric Acid		0.452		WT	PM1	3/8/16
D7	a-Keto-Butyric Acid		0.646		WT	PM1	3/8/16
D8	a-Methyl-D-Galactoside		0.321		WT	PM1	3/8/16
D9	a-D-Lactose		0.294		WT	PM1	3/8/16
