Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date	Biofilm Width	Bottom of well	Biofilm intensity	Biofilm/Growth	General Notes
A1	Negative Control		0.2101		WT	PM1	5/7/16					
A2	L-Arabinose		0.2847		WT	PM1	5/7/16					
A3	N-Acetyl-D-Glucosamine		0.1841		WT	PM1	5/7/16					
A4	D-Saccharic Acid		0.2987		WT	PM1	5/7/16					
A5	Succinic Acid		0.252		WT	PM1	5/7/16					
A6	D-Galactose		0.2627		WT	PM1	5/7/16					
A7	L-Aspartic Acid		0.4059		WT	PM1	5/7/16					
A8	L-Proline		0.243		WT	PM1	5/7/16					
A9	D-Alanine		0.1948		WT	PM1	5/7/16					
A10	D-Trehalose		0.2078		WT	PM1	5/7/16					
A11	D-Mannose		0.3302		WT	PM1	5/7/16					
A12	Dulcitol		0.2448		WT	PM1	5/7/16					
B1	D-Serine		0.1854		WT	PM1	5/7/16					
B2	D-Sorbitol		0.2077		WT	PM1	5/7/16					
B3	Glycerol		0.1937		WT	PM1	5/7/16					
B4	L-Fucose		0.1999		WT	PM1	5/7/16					
B5	D-Glucuronic Acid		0.1944		WT	PM1	5/7/16					
B6	D-Gluconic Acid		0.3382		WT	PM1	5/7/16					
B7	"D,L-a-Glycerol-Phosphate"		0.2517		WT	PM1	5/7/16					
B8	D-Xylose		0.2805		WT	PM1	5/7/16					
B9	L-Lactic Acid		0.2384		WT	PM1	5/7/16					
B10	Formic Acid		0.2355		WT	PM1	5/7/16					
B11	D-Mannitol		0.3492		WT	PM1	5/7/16					
B12	L-Glutamic Acid		0.3111		WT	PM1	5/7/16					
C1	D-Glucose-6-Phosphate		0.2906		WT	PM1	5/7/16					
C2	D-Galactonic Acid-g-Lactone		0.3183		WT	PM1	5/7/16					
C3	"D,L-Malic Acid"		0.2509		WT	PM1	5/7/16					
C4	D-Ribose		0.2315		WT	PM1	5/7/16					
C5	Tween 20		0.0417		WT	PM1	5/7/16					
C6	L-Rhamnose		0.2428		WT	PM1	5/7/16					
C7	D-Fructose		0.2749		WT	PM1	5/7/16					
C8	Acetic Acid		0.2443		WT	PM1	5/7/16					
C9	a-D-Glucose		0.3549		WT	PM1	5/7/16					
C10	Maltose		0.212		WT	PM1	5/7/16					
C11	D-Melibiose		0.2141		WT	PM1	5/7/16					
C12	Thymidine		0.2387		WT	PM1	5/7/16					
D1	L-Asparagine		0.2667		WT	PM1	5/7/16					
D2	D-Aspartic Acid		0.1521		WT	PM1	5/7/16					
D3	D-Glucosaminic Acid		0.3326		WT	PM1	5/7/16					
D4	"1,2-Propanediol"		0.205		WT	PM1	5/7/16					
D5	Tween 40		0.0703		WT	PM1	5/7/16					
D6	a-Keto-Glutaric Acid		0.2154		WT	PM1	5/7/16					
D7	a-Keto-Butyric Acid		0.2959		WT	PM1	5/7/16					
D8	a-Methyl-D-Galactoside		0.1961		WT	PM1	5/7/16					
D9	a-D-Lactose		0.1951		WT	PM1	5/7/16					
D10	Lactulose		0.2072		WT	PM1	5/7/16					
D11	Sucrose		0.2285		WT	PM1	5/7/16					
D12	Uridine		0.2074		WT	PM1	5/7/16					
E1	L-Glutamine		0.2699		WT	PM1	5/7/16					
E2	M-Tartaric Acid		0.403		WT	PM1	5/7/16					
E3	D-Glucose-1-Phosphate		0.2085		WT	PM1	5/7/16					
E4	D-Fructose-6-Phosphate		0.2029		WT	PM1	5/7/16					
E5	Tween 80		0.0407		WT	PM1	5/7/16					
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.2535		WT	PM1	5/7/16					
E7	a-Hydroxy Butyric Acid		0.386		WT	PM1	5/7/16					
E8	b-Methyl-D-Glucoside		0.229		WT	PM1	5/7/16					
E9	Adonitol		0.226		WT	PM1	5/7/16					
E10	Maltotriose		0.2136		WT	PM1	5/7/16					
E11	2-Deoxy Adenosine		0.1932		WT	PM1	5/7/16					
