Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date
A1	Negative Control		0.3483		WT	PM1	6/21/17
A2	L-Arabinose		0.4721		WT	PM1	6/21/17
A3	N-Acetyl-D-Glucosamine		0.3698		WT	PM1	6/21/17
A4	D-Saccharic Acid		0.4406		WT	PM1	6/21/17
A5	Succinic Acid		0.387		WT	PM1	6/21/17
A6	D-Galactose		0.4052		WT	PM1	6/21/17
A7	L-Aspartic Acid		0.4436		WT	PM1	6/21/17
A8	L-Proline		0.3982		WT	PM1	6/21/17
A9	D-Alanine		0.299		WT	PM1	6/21/17
A10	D-Trehalose		0.2836		WT	PM1	6/21/17
A11	D-Mannose		0.3157		WT	PM1	6/21/17
A12	Dulcitol		0.2504		WT	PM1	6/21/17
B1	D-Serine		0.1474		WT	PM1	6/21/17
B2	D-Sorbitol		0.3733		WT	PM1	6/21/17
B3	Glycerol		0.3075		WT	PM1	6/21/17
B4	L-Fucose		0.3794		WT	PM1	6/21/17
B5	D-Glucuronic Acid		0.3691		WT	PM1	6/21/17
B6	D-Gluconic Acid		0.4095		WT	PM1	6/21/17
B7	"D,L-a-Glycerol-Phosphate"		0.3693		WT	PM1	6/21/17
B8	D-Xylose		0.3639		WT	PM1	6/21/17
B9	L-Lactic Acid		0.3754		WT	PM1	6/21/17
B10	Formic Acid		0.3089		WT	PM1	6/21/17
B11	D-Mannitol		0.3741		WT	PM1	6/21/17
B12	L-Glutamic Acid		0.4008		WT	PM1	6/21/17
C1	D-Glucose-6-Phosphate		0.277		WT	PM1	6/21/17
C2	D-Galactonic Acid-g-Lactone		0.3481		WT	PM1	6/21/17
C3	"D,L-Malic Acid"		0.3872		WT	PM1	6/21/17
C4	D-Ribose		0.46		WT	PM1	6/21/17
C5	Tween 20		0.0134		WT	PM1	6/21/17
C6	L-Rhamnose		0.3461		WT	PM1	6/21/17
C7	D-Fructose		0.3669		WT	PM1	6/21/17
C8	Acetic Acid		0.4119		WT	PM1	6/21/17
C9	a-D-Glucose		0.372		WT	PM1	6/21/17
C10	Maltose		0.2904		WT	PM1	6/21/17
C11	D-Melibiose		0.2939		WT	PM1	6/21/17
C12	Thymidine		0.2699		WT	PM1	6/21/17
D1	L-Asparagine		0.3245		WT	PM1	6/21/17
D2	D-Aspartic Acid		0.3989		WT	PM1	6/21/17
D3	D-Glucosaminic Acid		0.3947		WT	PM1	6/21/17
D4	"1,2-Propanediol"		0.3473		WT	PM1	6/21/17
D5	Tween 40		0.0165		WT	PM1	6/21/17
D6	a-Keto-Glutaric Acid		0.5361		WT	PM1	6/21/17
D7	a-Keto-Butyric Acid		0.5285		WT	PM1	6/21/17
D8	a-Methyl-D-Galactoside		0.3454		WT	PM1	6/21/17
D9	a-D-Lactose		0.3255		WT	PM1	6/21/17
D10	Lactulose		0.3439		WT	PM1	6/21/17
D11	Sucrose		0.3343		WT	PM1	6/21/17
D12	Uridine		0.2627		WT	PM1	6/21/17
E1	L-Glutamine		0.4491		WT	PM1	6/21/17
E2	M-Tartaric Acid		0.624		WT	PM1	6/21/17
E3	D-Glucose-1-Phosphate		0.3604		WT	PM1	6/21/17
E4	D-Fructose-6-Phosphate		0.3527		WT	PM1	6/21/17
E5	Tween 80		0.014		WT	PM1	6/21/17
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.3627		WT	PM1	6/21/17
E7	a-Hydroxy Butyric Acid		0.5122		WT	PM1	6/21/17
E8	b-Methyl-D-Glucoside		0.3824		WT	PM1	6/21/17
E9	Adonitol		0.3228		WT	PM1	6/21/17
E10	Maltotriose		0.3366		WT	PM1	6/21/17
E11	2-Deoxy Adenosine		0.2818		WT	PM1	6/21/17
E12	Adenosine		0.189		WT	PM1	6/21/17
F1	Glycil-L-Aspartic Acid		0.3238		WT	PM1	6/21/17
F2	Citric Acid		0.6044		WT	PM1	6/21/17
F3	M-Inositol		0.4026		WT	PM1	6/21/17
F4	D-Threonine		0.4136		WT	PM1	6/21/17
F5	Fumaric Acid		0.4764		WT	PM1	6/21/17
F6	Bromo Succinic Acid		0.6078		WT	PM1	6/21/17
F7	Propionic Acid		0.5733		WT	PM1	6/21/17
F8	Mucic Acid		0.3946		WT	PM1	6/21/17
F9	Glycolic Acid		0.4132		WT	PM1	6/21/17
F10	Glyoxylic Acid		0.6223		WT	PM1	6/21/17
F11	D-Cellobiose		0.3484		WT	PM1	6/21/17
F12	Inosine		0.2983		WT	PM1	6/21/17
G1	Glycil-L-Glutamic Acid		0.3589		WT	PM1	6/21/17
G2	Tricarballylic Acid		0.5148		WT	PM1	6/21/17
G3	L-Serine		0.4014		WT	PM1	6/21/17
G4	L-Threonine		0.4093		WT	PM1	6/21/17
G5	L-Alanine		0.4745		WT	PM1	6/21/17
G6	L-Alanyl-Glycine		0.3651		WT	PM1	6/21/17
G7	Acetoacetic Acid		0.338		WT	PM1	6/21/17
G8	N-Acetyl-b-D-Mannosamine		0.3889		WT	PM1	6/21/17
G9	Mono Methyl Succinate		0.4351		WT	PM1	6/21/17
G10	Methyl Pyruvate		0.4047		WT	PM1	6/21/17
G11	D-Malic Acid		0.4933		WT	PM1	6/21/17
G12	L-Malic Acid		0.3967		WT	PM1	6/21/17
H1	Glycil-L-Proline		0.3866		WT	PM1	6/21/17
H2	p-Hydroxy Phenyl Acetic Acid		0.3641		WT	PM1	6/21/17
