Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date
A1	Negative Control		0.2436		WT	PM1	5/3/17
A2	L-Arabinose		0.348		WT	PM1	5/3/17
A3	N-Acetyl-D-Glucosamine		0.203		WT	PM1	5/3/17
A4	D-Saccharic Acid		0.359		WT	PM1	5/3/17
A5	Succinic Acid		0.363		WT	PM1	5/3/17
A6	D-Galactose		0.362		WT	PM1	5/3/17
A7	L-Aspartic Acid		0.342		WT	PM1	5/3/17
A8	L-Proline		0.314		WT	PM1	5/3/17
A9	D-Alanine		0.275		WT	PM1	5/3/17
A10	D-Trehalose		0.199		WT	PM1	5/3/17
A11	D-Mannose		0.336		WT	PM1	5/3/17
A12	Dulcitol		0.2		WT	PM1	5/3/17
B1	D-Serine		0.345		WT	PM1	5/3/17
B2	D-Sorbitol		0.25		WT	PM1	5/3/17
B3	Glycerol		0.239		WT	PM1	5/3/17
B4	L-Fucose		0.287		WT	PM1	5/3/17
B5	D-Glucuronic Acid		0.25		WT	PM1	5/3/17
B6	D-Gluconic Acid		0.428		WT	PM1	5/3/17
B7	"D,L-a-Glycerol-Phosphate"		0.234		WT	PM1	5/3/17
B8	D-Xylose		0.328		WT	PM1	5/3/17
B9	L-Lactic Acid		0.289		WT	PM1	5/3/17
B10	Formic Acid		0.335		WT	PM1	5/3/17
B11	D-Mannitol		0.334		WT	PM1	5/3/17
B12	L-Glutamic Acid		0.332		WT	PM1	5/3/17
C1	D-Glucose-6-Phosphate		0.368		WT	PM1	5/3/17
C2	D-Galactonic Acid-g-Lactone		0.383		WT	PM1	5/3/17
C3	"D,L-Malic Acid"		0.42		WT	PM1	5/3/17
C4	D-Ribose		0.389		WT	PM1	5/3/17
C5	Tween 20		0.023		WT	PM1	5/3/17
C6	L-Rhamnose		0.314		WT	PM1	5/3/17
C7	D-Fructose		0.327		WT	PM1	5/3/17
C8	Acetic Acid		0.309		WT	PM1	5/3/17
C9	a-D-Glucose		0.394		WT	PM1	5/3/17
C10	Maltose		0.25		WT	PM1	5/3/17
C11	D-Melibiose		0.283		WT	PM1	5/3/17
C12	Thymidine		0.263		WT	PM1	5/3/17
D1	L-Asparagine		0.432		WT	PM1	5/3/17
D2	D-Aspartic Acid		0.33		WT	PM1	5/3/17
D3	D-Glucosaminic Acid		0.42		WT	PM1	5/3/17
D4	"1,2-Propanediol"		0.249		WT	PM1	5/3/17
D5	Tween 40		0.017		WT	PM1	5/3/17
D6	a-Keto-Glutaric Acid		0.342		WT	PM1	5/3/17
D7	a-Keto-Butyric Acid		0.34		WT	PM1	5/3/17
D8	a-Methyl-D-Galactoside		0.27		WT	PM1	5/3/17
D9	a-D-Lactose		0.278		WT	PM1	5/3/17
D10	Lactulose		0.279		WT	PM1	5/3/17
D11	Sucrose		0.234		WT	PM1	5/3/17
D12	Uridine		0.201		WT	PM1	5/3/17
E1	L-Glutamine		0.461		WT	PM1	5/3/17
E2	M-Tartaric Acid		0.488		WT	PM1	5/3/17
E3	D-Glucose-1-Phosphate		0.336		WT	PM1	5/3/17
E4	D-Fructose-6-Phosphate		0.308		WT	PM1	5/3/17
E5	Tween 80		0.019		WT	PM1	5/3/17
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.357		WT	PM1	5/3/17
E7	a-Hydroxy Butyric Acid		0.466		WT	PM1	5/3/17
E8	b-Methyl-D-Glucoside		0.345		WT	PM1	5/3/17
E9	Adonitol		0.308		WT	PM1	5/3/17
E10	Maltotriose		0.271		WT	PM1	5/3/17
E11	2-Deoxy Adenosine		0.24		WT	PM1	5/3/17
E12	Adenosine		0.153		WT	PM1	5/3/17
F1	Glycil-L-Aspartic Acid		0.374		WT	PM1	5/3/17
F2	Citric Acid		0.554		WT	PM1	5/3/17
F3	M-Inositol		0.388		WT	PM1	5/3/17
F4	D-Threonine		0.499		WT	PM1	5/3/17
F5	Fumaric Acid		0.506		WT	PM1	5/3/17
F6	Bromo Succinic Acid		0.409		WT	PM1	5/3/17
F7	Propionic Acid		0.469		WT	PM1	5/3/17
F8	Mucic Acid		0.318		WT	PM1	5/3/17
F9	Glycolic Acid		0.245		WT	PM1	5/3/17
F10	Glyoxylic Acid		0.324		WT	PM1	5/3/17
F11	D-Cellobiose		0.265		WT	PM1	5/3/17
F12	Inosine		0.197		WT	PM1	5/3/17
G1	Glycil-L-Glutamic Acid		0.362		WT	PM1	5/3/17
G2	Tricarballylic Acid		0.412		WT	PM1	5/3/17
G3	L-Serine		0.425		WT	PM1	5/3/17
G4	L-Threonine		0.476		WT	PM1	5/3/17
G5	L-Alanine		0.397		WT	PM1	5/3/17
G6	L-Alanyl-Glycine		0.381		WT	PM1	5/3/17
G7	Acetoacetic Acid		0.352		WT	PM1	5/3/17
G8	N-Acetyl-b-D-Mannosamine		0.343		WT	PM1	5/3/17
G9	Mono Methyl Succinate		0.375		WT	PM1	5/3/17
G10	Methyl Pyruvate		0.203		WT	PM1	5/3/17
G11	D-Malic Acid		0.328		WT	PM1	5/3/17
G12	L-Malic Acid		0.34		WT	PM1	5/3/17
H1	Glycil-L-Proline		0.323		WT	PM1	5/3/17
H2	p-Hydroxy Phenyl Acetic Acid		0.297		WT	PM1	5/3/17
H3	m-Hydroxy Phenyl Acetic Acid		0.317		WT	PM1	5/3/17
H4	Tyramine		0.413		WT	PM1	5/3/17
H5	D-Psicose		0.333		WT	PM1	5/3/17
H6	L-Lyxose		0.45		WT	PM1	5/3/17
H7	Glucuronamide		0.326		WT	PM1	5/3/17
H8	Pyruvic Acid		0.359		WT	PM1	5/3/17
H9	L-Galactonic Acid-g-Lactone		0.376		WT	PM1	5/3/17
H10	D-Galacturonic Acid		0.333		WT	PM1	5/3/17
H11	Phenylethyl-amine		0.353		WT	PM1	5/3/17
H12	2-Aminoethanol		0.299		WT	PM1	5/3/17
A1	Negative Control		0.286		WT	PM2A	5/3/17
A2	Chondroitin Sulfate C		0.265		WT	PM2A	5/3/17
A3	a-Cyclodextrin		0.487		WT	PM2A	5/3/17
A4	b-Cyclodextrin		0.391		WT	PM2A	5/3/17
A5	g-Cyclodextrin		0.338		WT	PM2A	5/3/17
A6	Dextrin		0.165		WT	PM2A	5/3/17
A7	Gelatin		0.188		WT	PM2A	5/3/17
A8	Glycogen		0.131		WT	PM2A	5/3/17
A9	Inulin		0.226		WT	PM2A	5/3/17
A10	Laminarin		0.225		WT	PM2A	5/3/17
A11	Mannan		0.075		WT	PM2A	5/3/17
A12	Pectin		0.4		WT	PM2A	5/3/17
B1	N-Acetyl-D-Galactosamine		0.304		WT	PM2A	5/3/17
B2	N-Acetyl-Neuraminic Acid		0.346		WT	PM2A	5/3/17
B3	b-D-Allose		0.447		WT	PM2A	5/3/17
B4	Amygdalin		0.244		WT	PM2A	5/3/17
B5	D-Arabinose		0.335		WT	PM2A	5/3/17
B6	D-Arabitol		0.423		WT	PM2A	5/3/17
B7	L-Arabitol		0.336		WT	PM2A	5/3/17
B8	Arbutin		0.301		WT	PM2A	5/3/17
B9	2-Deoxy-D-Ribose		0.298		WT	PM2A	5/3/17
B10	I-Erythritol		0.296		WT	PM2A	5/3/17
B11	D-Fucose		0.234		WT	PM2A	5/3/17
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.261		WT	PM2A	5/3/17
C1	Gentiobiose		0.363		WT	PM2A	5/3/17
C2	L-Glucose		0.425		WT	PM2A	5/3/17
C3	Lactitol		0.326		WT	PM2A	5/3/17
C4	D-Melezitose		0.367		WT	PM2A	5/3/17
C5	Maltitol		0.335		WT	PM2A	5/3/17
C6	a-Methyl-D-Glucoside		0.37		WT	PM2A	5/3/17
C7	b-Methyl-D-Gactoside		0.339		WT	PM2A	5/3/17
C8	3-Methyl-Glucose		0.326		WT	PM2A	5/3/17
C9	b-Methyl-D-Glucuronic Acid		0.342		WT	PM2A	5/3/17
C10	a-Methyl-D-Mannoside		0.305		WT	PM2A	5/3/17
C11	b-Methyl-D-Xyloside		0.267		WT	PM2A	5/3/17
C12	Palatinose		0.277		WT	PM2A	5/3/17
D1	D-Raffinose		0.348		WT	PM2A	5/3/17
D2	Salicin		0.362		WT	PM2A	5/3/17
D3	Sedoheptulosa		0.386		WT	PM2A	5/3/17
D4	L-Sorbose		0.366		WT	PM2A	5/3/17
D5	Stachyose		0.317		WT	PM2A	5/3/17
D6	D-Tagatose		0.345		WT	PM2A	5/3/17
D7	Turanose		0.337		WT	PM2A	5/3/17
D8	Xylitol		0.326		WT	PM2A	5/3/17
D9	N-Acetyl-D-Glucosaminatol		0.333		WT	PM2A	5/3/17
D10	g-Amino Butyric Acid		0.296		WT	PM2A	5/3/17
D11	d-Amino Valeric Acid		0.267		WT	PM2A	5/3/17
D12	Butyric Acid		0.33		WT	PM2A	5/3/17
E1	Capric Acid		0.297		WT	PM2A	5/3/17
E2	Caproic Acid		0.392		WT	PM2A	5/3/17
E3	Citraconic Acid		0.511		WT	PM2A	5/3/17
E4	Citramalic Acid		0.42		WT	PM2A	5/3/17
E5	D-Glucosamine		0.373		WT	PM2A	5/3/17
E6	2-Hydroxy Benzoic Acid		0.651		WT	PM2A	5/3/17
E7	4-Hydroxy Benzoic Acid		0.316		WT	PM2A	5/3/17
E8	b-Hydroxy Butyric Acid		0.312		WT	PM2A	5/3/17
E9	g-Hydroxy Butyric Acid		0.384		WT	PM2A	5/3/17
E10	a-Keto Valeric Acid		0.404		WT	PM2A	5/3/17
E11	Itaconic Acid		0.358		WT	PM2A	5/3/17
E12	5-Keto-D-Gluconic Acid		0.251		WT	PM2A	5/3/17
F1	D-Lactic Acid Methyl Ester		0.226		WT	PM2A	5/3/17
F2	Malonic Acid		0.426		WT	PM2A	5/3/17
F3	Melibionic Acid		0.34		WT	PM2A	5/3/17
F4	Oxalic Acid		0.38		WT	PM2A	5/3/17
F5	Oxalomalic Acid		0.539		WT	PM2A	5/3/17
F6	Quinic Acid		0.38		WT	PM2A	5/3/17
F7	"D-Ribono-1,4-Lactone"		0.386		WT	PM2A	5/3/17
F8	Sebacic Acid		0.349		WT	PM2A	5/3/17
F9	Sorbic Acid		0.18		WT	PM2A	5/3/17
F10	Succinamic Acid		0.338		WT	PM2A	5/3/17
F11	D-Tartaric Acid		0.382		WT	PM2A	5/3/17
F12	L-Tartaric Acid		0.311		WT	PM2A	5/3/17
G1	Acetamide		0.307		WT	PM2A	5/3/17
G2	L-Alaninamide		0.326		WT	PM2A	5/3/17
G3	N-Acetyl-L-Glutamic Acid		0.373		WT	PM2A	5/3/17
G4	L-Arginine		0.515		WT	PM2A	5/3/17
G5	Glycine		0.396		WT	PM2A	5/3/17
G6	L-Histidine		0.366		WT	PM2A	5/3/17
G7	L-Homoserine		0.33		WT	PM2A	5/3/17
G8	Hydroxy-L-Proline		0.415		WT	PM2A	5/3/17
G9	L-Isoleucine		0.422		WT	PM2A	5/3/17
G10	L-Leucine		0.334		WT	PM2A	5/3/17
G11	L-Lysine		0.326		WT	PM2A	5/3/17
G12	L-Methionine		0.287		WT	PM2A	5/3/17
H1	L-Ornithine		0.4		WT	PM2A	5/3/17
H2	Phenylalanine		0.28		WT	PM2A	5/3/17
H3	L-Pyroglutamic Acid		0.353		WT	PM2A	5/3/17
H4	L-Valine		0.374		WT	PM2A	5/3/17
H5	"D,L-Carnitine"		0.338		WT	PM2A	5/3/17
H6	Sec-Butylamine		0.44		WT	PM2A	5/3/17
H7	"D,L-Octopamine"		0.361		WT	PM2A	5/3/17
H8	Putrescine		0.338		WT	PM2A	5/3/17
H9	Dihydroxy Acetone		0.277		WT	PM2A	5/3/17
H10	"2,3-Butanediol"		0.363		WT	PM2A	5/3/17
H11	"2,3-Butanone"		0.24		WT	PM2A	5/3/17
H12	3-Hydroxy 2-Butanone		0.245		WT	PM2A	5/3/17
A1	Negative Control		0.409		4008	PM1	5/3/17
A2	L-Arabinose		0.402		4008	PM1	5/3/17
A3	N-Acetyl-D-Glucosamine		0.367		4008	PM1	5/3/17
A4	D-Saccharic Acid		0.439		4008	PM1	5/3/17
A5	Succinic Acid		0.327		4008	PM1	5/3/17
A6	D-Galactose		0.456		4008	PM1	5/3/17
A7	L-Aspartic Acid		0.373		4008	PM1	5/3/17
A8	L-Proline		0.307		4008	PM1	5/3/17
A9	D-Alanine		0.253		4008	PM1	5/3/17
A10	D-Trehalose		0.358		4008	PM1	5/3/17
A11	D-Mannose		0.391		4008	PM1	5/3/17
A12	Dulcitol		0.282		4008	PM1	5/3/17
B1	D-Serine		0.299		4008	PM1	5/3/17
B2	D-Sorbitol		0.368		4008	PM1	5/3/17
B3	Glycerol		0.351		4008	PM1	5/3/17
B4	L-Fucose		0.389		4008	PM1	5/3/17
B5	D-Glucuronic Acid		0.411		4008	PM1	5/3/17
B6	D-Gluconic Acid		0.43		4008	PM1	5/3/17
B7	"D,L-a-Glycerol-Phosphate"		0.214		4008	PM1	5/3/17
B8	D-Xylose		0.405		4008	PM1	5/3/17
B9	L-Lactic Acid		0.284		4008	PM1	5/3/17
B10	Formic Acid		0.394		4008	PM1	5/3/17
B11	D-Mannitol		0.453		4008	PM1	5/3/17
B12	L-Glutamic Acid		0.325		4008	PM1	5/3/17
C1	D-Glucose-6-Phosphate		0.434		4008	PM1	5/3/17
C2	D-Galactonic Acid-g-Lactone		0.303		4008	PM1	5/3/17
C3	"D,L-Malic Acid"		0.339		4008	PM1	5/3/17
C4	D-Ribose		0.426		4008	PM1	5/3/17
C5	Tween 20		0.02		4008	PM1	5/3/17
C6	L-Rhamnose		0.391		4008	PM1	5/3/17
C7	D-Fructose		0.416		4008	PM1	5/3/17
C8	Acetic Acid		0.443		4008	PM1	5/3/17
C9	a-D-Glucose		0.43		4008	PM1	5/3/17
C10	Maltose		0.399		4008	PM1	5/3/17
C11	D-Melibiose		0.377		4008	PM1	5/3/17
C12	Thymidine		0.282		4008	PM1	5/3/17
D1	L-Asparagine		0.348		4008	PM1	5/3/17
D2	D-Aspartic Acid		0.264		4008	PM1	5/3/17
D3	D-Glucosaminic Acid		0.34		4008	PM1	5/3/17
D4	"1,2-Propanediol"		0.336		4008	PM1	5/3/17
D5	Tween 40		0.019		4008	PM1	5/3/17
D6	a-Keto-Glutaric Acid		0.273		4008	PM1	5/3/17
D7	a-Keto-Butyric Acid		0.456		4008	PM1	5/3/17
D8	a-Methyl-D-Galactoside		0.377		4008	PM1	5/3/17
D9	a-D-Lactose		0.406		4008	PM1	5/3/17
D10	Lactulose		0.404		4008	PM1	5/3/17
D11	Sucrose		0.373		4008	PM1	5/3/17
D12	Uridine		0.224		4008	PM1	5/3/17
E1	L-Glutamine		0.355		4008	PM1	5/3/17
E2	M-Tartaric Acid		0.46		4008	PM1	5/3/17
E3	D-Glucose-1-Phosphate		0.395		4008	PM1	5/3/17
E4	D-Fructose-6-Phosphate		0.375		4008	PM1	5/3/17
E5	Tween 80		0.018		4008	PM1	5/3/17
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.337		4008	PM1	5/3/17
E7	a-Hydroxy Butyric Acid		0.442		4008	PM1	5/3/17
E8	b-Methyl-D-Glucoside		0.389		4008	PM1	5/3/17
E9	Adonitol		0.387		4008	PM1	5/3/17
E10	Maltotriose		0.403		4008	PM1	5/3/17
E11	2-Deoxy Adenosine		0.366		4008	PM1	5/3/17
E12	Adenosine		0.182		4008	PM1	5/3/17
F1	Glycil-L-Aspartic Acid		0.403		4008	PM1	5/3/17
F2	Citric Acid		0.484		4008	PM1	5/3/17
F3	M-Inositol		0.348		4008	PM1	5/3/17
F4	D-Threonine		0.442		4008	PM1	5/3/17
F5	Fumaric Acid		0.328		4008	PM1	5/3/17
F6	Bromo Succinic Acid		0.417		4008	PM1	5/3/17
F7	Propionic Acid		0.443		4008	PM1	5/3/17
F8	Mucic Acid		0.265		4008	PM1	5/3/17
F9	Glycolic Acid		0.334		4008	PM1	5/3/17
F10	Glyoxylic Acid		0.516		4008	PM1	5/3/17
F11	D-Cellobiose		0.36		4008	PM1	5/3/17
F12	Inosine		0.243		4008	PM1	5/3/17
G1	Glycil-L-Glutamic Acid		0.321		4008	PM1	5/3/17
G2	Tricarballylic Acid		0.443		4008	PM1	5/3/17
G3	L-Serine		0.337		4008	PM1	5/3/17
G4	L-Threonine		0.389		4008	PM1	5/3/17
G5	L-Alanine		0.317		4008	PM1	5/3/17
G6	L-Alanyl-Glycine		0.383		4008	PM1	5/3/17
G7	Acetoacetic Acid		0.468		4008	PM1	5/3/17
G8	N-Acetyl-b-D-Mannosamine		0.42		4008	PM1	5/3/17
G9	Mono Methyl Succinate		0.492		4008	PM1	5/3/17
G10	Methyl Pyruvate		0.241		4008	PM1	5/3/17
G11	D-Malic Acid		0.473		4008	PM1	5/3/17
G12	L-Malic Acid		0.438		4008	PM1	5/3/17
H1	Glycil-L-Proline		0.347		4008	PM1	5/3/17
H2	p-Hydroxy Phenyl Acetic Acid		0.374		4008	PM1	5/3/17
H3	m-Hydroxy Phenyl Acetic Acid		0.389		4008	PM1	5/3/17
H4	Tyramine		0.411		4008	PM1	5/3/17
H5	D-Psicose		0.391		4008	PM1	5/3/17
H6	L-Lyxose		0.392		4008	PM1	5/3/17
H7	Glucuronamide		0.348		4008	PM1	5/3/17
