Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date	Biofilm Width	Bottom of well	Biofilm intensity	Biofilm/Growth	General Notes
A1	Negative Control		0.256		WT	PM1	6/12/16 1					
A2	L-Arabinose		0.401		WT	PM1	6/12/16 1					
A3	N-Acetyl-D-Glucosamine		0.226		WT	PM1	6/12/16 1					
A4	D-Saccharic Acid		0.383		WT	PM1	6/12/16 1					
A5	Succinic Acid		0.294		WT	PM1	6/12/16 1					
A6	D-Galactose		0.326		WT	PM1	6/12/16 1					
A7	L-Aspartic Acid		0.374		WT	PM1	6/12/16 1					
A8	L-Proline		0.269		WT	PM1	6/12/16 1					
A9	D-Alanine		0.299		WT	PM1	6/12/16 1					
A10	D-Trehalose		0.236		WT	PM1	6/12/16 1					
A11	D-Mannose		0.316		WT	PM1	6/12/16 1					
A12	Dulcitol		0.239		WT	PM1	6/12/16 1					
B1	D-Serine		0.291		WT	PM1	6/12/16 1					
B2	D-Sorbitol		0.299		WT	PM1	6/12/16 1					
B3	Glycerol		0.267		WT	PM1	6/12/16 1					
B4	L-Fucose		0.334		WT	PM1	6/12/16 1					
B5	D-Glucuronic Acid		0.311		WT	PM1	6/12/16 1					
B6	D-Gluconic Acid		0.462		WT	PM1	6/12/16 1					
B7	"D,L-a-Glycerol-Phosphate"		0.294		WT	PM1	6/12/16 1					
B8	D-Xylose		0.392		WT	PM1	6/12/16 1					
B9	L-Lactic Acid		0.348		WT	PM1	6/12/16 1					
B10	Formic Acid		0.294		WT	PM1	6/12/16 1					
B11	D-Mannitol		0.328		WT	PM1	6/12/16 1					
B12	L-Glutamic Acid		0.324		WT	PM1	6/12/16 1					
C1	D-Glucose-6-Phosphate		0.353		WT	PM1	6/12/16 1					
C2	D-Galactonic Acid-g-Lactone		0.366		WT	PM1	6/12/16 1					
C3	"D,L-Malic Acid"		0.362		WT	PM1	6/12/16 1					
C4	D-Ribose		0.369		WT	PM1	6/12/16 1					
C5	Tween 20		0.013		WT	PM1	6/12/16 1					
C6	L-Rhamnose		0.308		WT	PM1	6/12/16 1					
C7	D-Fructose		0.291		WT	PM1	6/12/16 1					
C8	Acetic Acid		0.29		WT	PM1	6/12/16 1					
C9	a-D-Glucose		0.388		WT	PM1	6/12/16 1					
C10	Maltose		0.257		WT	PM1	6/12/16 1					
C11	D-Melibiose		0.242		WT	PM1	6/12/16 1					
C12	Thymidine		0.246		WT	PM1	6/12/16 1					
D1	L-Asparagine		0.339		WT	PM1	6/12/16 1					
D2	D-Aspartic Acid		0.343		WT	PM1	6/12/16 1					
D3	D-Glucosaminic Acid		0.375		WT	PM1	6/12/16 1					
D4	"1,2-Propanediol"		0.297		WT	PM1	6/12/16 1					
D5	Tween 40		0.017		WT	PM1	6/12/16 1					
D6	a-Keto-Glutaric Acid		0.448		WT	PM1	6/12/16 1					
D7	a-Keto-Butyric Acid		0.448		WT	PM1	6/12/16 1					
D8	a-Methyl-D-Galactoside		0.257		WT	PM1	6/12/16 1					
D9	a-D-Lactose		0.275		WT	PM1	6/12/16 1					
D10	Lactulose		0.25		WT	PM1	6/12/16 1					
D11	Sucrose		0.282		WT	PM1	6/12/16 1					
D12	Uridine		0.162		WT	PM1	6/12/16 1					
E1	L-Glutamine		0.359		WT	PM1	6/12/16 1					
E2	M-Tartaric Acid		0.456		WT	PM1	6/12/16 1					
E3	D-Glucose-1-Phosphate		0.327		WT	PM1	6/12/16 1					
E4	D-Fructose-6-Phosphate		0.338		WT	PM1	6/12/16 1					
E5	Tween 80		0.011		WT	PM1	6/12/16 1					
