,Pfl01_0048,Pfl01_0050,lapD,Pfl01_0190,Pfl01_0192,Pfl01_0264,Pfl01_0460,gcbA,Pfl01_0692,Pfl01_0958,wspR,Pfl01_1252,Pfl01_1323,Pfl01_1336,rapA,gcbB,Pfl01_1887,Pfl01_2049,Pfl01_2170,Pfl01_2176,Pfl01_2295,Pfl01_2297,Pfl01_2525,Pfl01_2709,Pfl01_2920,Pfl01_3039,Pfl01_3508,Pfl01_3550,Pfl01_3800,Pfl01_3860,Pfl01_3972,Pfl01_4008,Pfl01_4084,Pfl01_4086,Pfl01_4150,Pfl01_4257,Pfl01_4307,Pfl01_4451,Pfl01_4487,Pfl01_4551,Pfl01_4552,gcbC,Pfl01_4876,Pfl01_4884,Pfl01_5150,Pfl01_5168,Pfl01_5255,Pfl01_5518,Pfl01_5643
Pfl01_0048,,0,4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pfl01_0050,0,,1,,1,0,0,0,,0,,2,,,0,,0,,,,,,1,2,3,0,,,,0,0,0,,2,0,0,,,2,0,0,,0,0,0,,0,0,0
lapD,0,0,,0,2,0,4,0,1,4,0,2,0,1,0,0,0,1,1,0,1,2,3,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
Pfl01_0190,0,,0,,0,0,0,0,,0,,0,,,0,,0,,,,,,0,0,0,0,,,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,0,0
Pfl01_0192,0,0,0,0,,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pfl01_0264,,0,3,0,0,,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,4,4,0,0,,4,2,0,4,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pfl01_0460,0,0,4,0,4,0,,0,0,0,4,4,0,0,4,4,4,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0
gcbA,0,,0,,0,0,0,0,,0,,3,,,0,,3,,,,,,0,0,2,0,,,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,0,0
Pfl01_0692,3,,2,,1,0,0,0,,0,,0,,,0,,1,,,,,,2,2,0,0,,,,0,0,0,,1,0,0,,,2,0,0,,0,0,0,,0,0,4
Pfl01_0958,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0
wspR,0,,2,,1,0,4,0,,0,,4,,,3,,3,,,,,,3,0,3,4,,,,0,0,0,,2,0,0,,,3,0,3,,0,0,0,,2,0,0
Pfl01_1252,0,0,2,0,1,0,4,0,1,0,0,,0,2,0,0,0,2,1,0,1,1,1,2,0,0,1,1,0,0,0,0,,2,0,0,2,0,2,0,0,0,3,0,0,0,0,0,4
Pfl01_1323,0,,3,,3,0,0,0,,0,,0,,,0,,4,,,,,,0,0,0,4,,,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,4,0,0
Pfl01_1336,0,,1,,2,0,0,0,,0,,3,,,0,,4,,,,,,1,2,0,0,,,,0,0,0,,4,0,0,,,2,0,0,,0,0,0,,0,0,0
rapA,0,0,2,0,3,0,4,0,0,0,0,3,0,3,,0,1,3,2,0,4,2,3,3,0,0,2,1,0,4,0,0,0,4,0,0,3,0,2,0,0,0,0,4,0,0,2,4,0
gcbB,0,,4,,0,0,0,0,,0,,4,,,0,,0,,,,,,0,0,0,0,,,,0,0,0,,4,0,0,,,0,0,0,,0,0,0,,0,4,0
Pfl01_1887,0,0,3,0,3,0,4,0,0,0,4,4,4,4,1,4,,4,4,0,0,3,4,0,0,4,3,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
Pfl01_2049,0,,1,,1,0,4,0,,0,,2,,,3,,2,,,,,,1,1,2,0,,,,0,0,0,,1,0,0,,,2,0,0,,0,4,0,,0,0,0
Pfl01_2170,0,,1,,1,0,0,0,,0,,2,,,0,,4,,,,,,0,2,2,0,,,,0,0,0,,1,0,0,,,2,0,0,,0,0,0,,0,0,0
Pfl01_2176,0,,0,,0,0,0,0,,0,,0,,,0,,0,,,,,,0,0,0,0,,,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,0,0
Pfl01_2295,0,,1,,1,0,0,0,,0,,1,,,0,,4,,,,,,1,1,3,0,,,,0,0,0,,1,0,0,,,2,0,0,,0,0,0,,4,0,0
Pfl01_2297,0,,1,,1,0,0,0,,0,,2,,,0,,4,,,,,,1,1,3,0,,,,0,0,0,,1,0,0,,,1,0,0,,0,3,0,,4,4,4
Pfl01_2525,0,0,2,0,1,0,0,0,1,0,4,1,0,1,0,0,3,1,1,0,1,1,,2,0,0,1,2,0,4,0,0,4,1,0,0,1,0,1,0,0,4,0,0,0,0,4,0,0
Pfl01_2709,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,4,4,1,1,0,2,2,3,,0,0,1,3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,,0,0,0,0,0,0
Pfl01_2920,,0,1,0,0,,0,0,4,0,0,2,0,3,0,3,0,2,2,0,0,1,2,2,,,0,1,0,0,,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Pfl01_3039,,0,0,0,4,,4,0,0,0,4,2,0,4,0,0,4,0,4,0,0,0,0,0,,,0,0,0,4,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
Pfl01_3508,0,,1,,1,0,0,0,,0,,1,,,3,,3,,,,,,2,1,0,4,,,,4,0,0,,1,0,0,,,1,0,0,,2,0,0,,4,4,0
Pfl01_3550,3,,0,,0,0,4,0,,0,,0,,,1,,2,,,,,,1,3,2,0,,,,1,0,0,,1,0,0,,,1,0,3,,0,0,0,,2,0,4
Pfl01_3800,0,,0,,3,0,0,0,,0,,0,,,0,,4,,,,,,0,0,0,0,,,,0,0,0,,4,0,0,,,0,0,0,,0,0,0,,0,0,4
Pfl01_3860,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,2,1,0,,0,,0,2,,,0,0,0,0,0,4,4,,0,0,2,4,0
Pfl01_3972,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Pfl01_4008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,0,,4,2,,,0,0,0,0,0,0,0,,0,0,0,0,0
Pfl01_4084,0,,0,,0,0,4,0,,0,,4,,,0,,4,,,,,,3,0,0,0,,,,4,0,4,,4,0,0,,,0,0,0,,0,0,0,,4,4,4
Pfl01_4086,0,0,1,0,1,0,0,0,1,0,4,2,0,1,0,4,3,1,1,0,1,1,1,1,2,0,1,3,0,0,0,0,0,,0,0,1,0,1,0,0,0,2,0,0,0,4,0,0
Pfl01_4150,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,0,0,0,0,0,0,4,0,0,0
Pfl01_4257,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,0,0,0,0,,0,0,4,0,4
Pfl01_4307,0,,1,,1,0,4,0,,0,,2,,,0,,3,,,,,,1,1,2,0,,,,0,0,0,,1,0,0,,,1,0,0,,0,0,0,,4,4,0
