Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date										
A1	Negative Control		0.25		WT		7/20/2016										
A2	L-Arabinose		0.382		WT		7/20/2016										
A3	N-Acetyl-D-Glucosamine		0.239		WT		7/20/2016										
A4	D-Saccharic Acid		0.438		WT		7/20/2016										
A5	Succinic Acid		0.356		WT		7/20/2016										
A6	D-Galactose		0.355		WT		7/20/2016										
A7	L-Aspartic Acid		0.457		WT		7/20/2016										
A8	L-Proline		0.339		WT		7/20/2016										
A9	D-Alanine		0.294		WT		7/20/2016										
A10	D-Trehalose		0.263		WT		7/20/2016										
A11	D-Mannose		0.439		WT		7/20/2016										
A12	Dulcitol		0.291		WT		7/20/2016										
B1	D-Serine		0.286		WT		7/20/2016										
B2	D-Sorbitol		0.279		WT		7/20/2016										
B3	Glycerol		0.246		WT		7/20/2016										
B4	L-Fucose		0.334		WT		7/20/2016										
B5	D-Glucuronic Acid		0.286		WT		7/20/2016										
B6	D-Gluconic Acid		0.566		WT		7/20/2016										
B7	"D,L-a-Glycerol-Phosphate"		0.301		WT		7/20/2016										
B8	D-Xylose		0.403		WT		7/20/2016										
B9	L-Lactic Acid		0.393		WT		7/20/2016										
B10	Formic Acid		0.408		WT		7/20/2016										
B11	D-Mannitol		0.497		WT		7/20/2016										
B12	L-Glutamic Acid		0.424		WT		7/20/2016										
C1	D-Glucose-6-Phosphate		0.333		WT		7/20/2016										
C2	D-Galactonic Acid-g-Lactone		0.454		WT		7/20/2016										
C3	"D,L-Malic Acid"		0.425		WT		7/20/2016										
C4	D-Ribose		0.376		WT		7/20/2016										
C5	Tween 20		0.023		WT		7/20/2016										
C6	L-Rhamnose		0.316		WT		7/20/2016										
C7	D-Fructose		0.355		WT		7/20/2016										
C8	Acetic Acid		0.41		WT		7/20/2016										
C9	a-D-Glucose		0.5		WT		7/20/2016										
C10	Maltose		0.31		WT		7/20/2016										
C11	D-Melibiose		0.31		WT		7/20/2016										
C12	Thymidine		0.309		WT		7/20/2016										
D1	L-Asparagine		0.418		WT		7/20/2016										
D2	D-Aspartic Acid		0.334		WT		7/20/2016										
