Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date	Biofilm Width	Bottom of well	Biofilm intensity	Biofilm/Growth	General Notes
A1	Negative Control		0.358		WT	PM2A	3/7/16					
A2	Chondroitin Sulfate C		0.338		WT	PM2A	3/7/16					
A3	a-Cyclodextrin		0.384		WT	PM2A	3/7/16					
A4	b-Cyclodextrin		0.41		WT	PM2A	3/7/16					
A5	g-Cyclodextrin		0.368		WT	PM2A	3/7/16					
A6	Dextrin		0.069		WT	PM2A	3/7/16					
A7	Gelatin		0.168		WT	PM2A	3/7/16					
A8	Glycogen		0.098		WT	PM2A	3/7/16					
A9	Inulin		0.274		WT	PM2A	3/7/16					
A10	Laminarin		0.246		WT	PM2A	3/7/16					
A11	Mannan		0.069		WT	PM2A	3/7/16					
A12	Pectin		0.225		WT	PM2A	3/7/16					
B1	N-Acetyl-D-Galactosamine		0.399		WT	PM2A	3/7/16					
B2	N-Acetyl-Neuraminic Acid		0.431		WT	PM2A	3/7/16					
B3	b-D-Allose		0.353		WT	PM2A	3/7/16					
B4	Amygdalin		0.327		WT	PM2A	3/7/16					
B5	D-Arabinose		0.365		WT	PM2A	3/7/16					
B6	D-Arabitol		0.365		WT	PM2A	3/7/16					
B7	L-Arabitol		0.286		WT	PM2A	3/7/16					
B8	Arbutin		0.336		WT	PM2A	3/7/16					
B9	2-Deoxy-D-Ribose		0.22		WT	PM2A	3/7/16					
B10	I-Erythritol		0.295		WT	PM2A	3/7/16					
B11	D-Fucose		0.348		WT	PM2A	3/7/16					
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.371		WT	PM2A	3/7/16					
C1	Gentiobiose		0.406		WT	PM2A	3/7/16					
C2	L-Glucose		0.428		WT	PM2A	3/7/16					
C3	Lactitol		0.383		WT	PM2A	3/7/16					
C4	D-Melezitose		0.366		WT	PM2A	3/7/16					
C5	Maltitol		0.321		WT	PM2A	3/7/16					
C6	a-Methyl-D-Glucoside		0.363		WT	PM2A	3/7/16					
C7	b-Methyl-D-Gactoside		0.313		WT	PM2A	3/7/16					
C8	3-Methyl-Glucose		0.318		WT	PM2A	3/7/16					
C9	b-Methyl-D-Glucuronic Acid		0.294		WT	PM2A	3/7/16					
C10	a-Methyl-D-Mannoside		0.362		WT	PM2A	3/7/16					
C11	b-Methyl-D-Xyloside		0.329		WT	PM2A	3/7/16					
C12	Palatinose		0.439		WT	PM2A	3/7/16					
D1	D-Raffinose		0.361		WT	PM2A	3/7/16					
D2	Salicin		0.397		WT	PM2A	3/7/16					
D3	Sedoheptulosa		0.365		WT	PM2A	3/7/16					
D4	L-Sorbose		0.363		WT	PM2A	3/7/16					
D5	Stachyose		0.34		WT	PM2A	3/7/16					
D6	D-Tagatose		0.425		WT	PM2A	3/7/16					
D7	Turanose		0.358		WT	PM2A	3/7/16					
D8	Xylitol		0.345		WT	PM2A	3/7/16					
D9	N-Acetyl-D-Glucosaminatol		0.305		WT	PM2A	3/7/16					
D10	g-Amino Butyric Acid		0.353		WT	PM2A	3/7/16					
D11	d-Amino Valeric Acid		0.292		WT	PM2A	3/7/16					
D12	Butyric Acid		0.441		WT	PM2A	3/7/16					
E1	Capric Acid		0.319		WT	PM2A	3/7/16					
E2	Caproic Acid		0.342		WT	PM2A	3/7/16					
E3	Citraconic Acid		0.497		WT	PM2A	3/7/16					
E4	Citramalic Acid		0.44		WT	PM2A	3/7/16					
E5	D-Glucosamine		0.322		WT	PM2A	3/7/16					
E6	2-Hydroxy Benzoic Acid		0.483		WT	PM2A	3/7/16					
E7	4-Hydroxy Benzoic Acid		0.404		WT	PM2A	3/7/16					
E8	b-Hydroxy Butyric Acid		0.431		WT	PM2A	3/7/16					
E9	g-Hydroxy Butyric Acid		0.407		WT	PM2A	3/7/16					
E10	a-Keto Valeric Acid		0.499		WT	PM2A	3/7/16					
E11	Itaconic Acid		0.491		WT	PM2A	3/7/16					
E12	5-Keto-D-Gluconic Acid		0.328		WT	PM2A	3/7/16					
F1	D-Lactic Acid Methyl Ester		0.301		WT	PM2A	3/7/16					
F2	Malonic Acid		0.415		WT	PM2A	3/7/16					
F3	Melibionic Acid		0.288		WT	PM2A	3/7/16					
F4	Oxalic Acid		0.37		WT	PM2A	3/7/16					
F5	Oxalomalic Acid		0.42		WT	PM2A	3/7/16					
F6	Quinic Acid		0.344		WT	PM2A	3/7/16					
F7	"D-Ribono-1,4-Lactone"		0.362		WT	PM2A	3/7/16					
F8	Sebacic Acid		0.464		WT	PM2A	3/7/16					
F9	Sorbic Acid		0.236		WT	PM2A	3/7/16					
F10	Succinamic Acid		0.356		WT	PM2A	3/7/16					
F11	D-Tartaric Acid		0.551		WT	PM2A	3/7/16					
F12	L-Tartaric Acid		0.413		WT	PM2A	3/7/16					
G1	Acetamide		0.355		WT	PM2A	3/7/16					
G2	L-Alaninamide		0.417		WT	PM2A	3/7/16					
G3	N-Acetyl-L-Glutamic Acid		0.382		WT	PM2A	3/7/16					
G4	L-Arginine		0.412		WT	PM2A	3/7/16					
G5	Glycine		0.226		WT	PM2A	3/7/16					
G6	L-Histidine		0.347		WT	PM2A	3/7/16					
