Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date
A1	Negative Control		0.12		4DGC	PM1	6/15/16
A2	L-Arabinose		0.16		4DGC	PM1	6/15/16
A3	N-Acetyl-D-Glucosamine		0.132		4DGC	PM1	6/15/16
A4	D-Saccharic Acid		0.134		4DGC	PM1	6/15/16
A5	Succinic Acid		0.136		4DGC	PM1	6/15/16
A6	D-Galactose		0.162		4DGC	PM1	6/15/16
A7	L-Aspartic Acid		0.158		4DGC	PM1	6/15/16
A8	L-Proline		0.099		4DGC	PM1	6/15/16
A9	D-Alanine		0.121		4DGC	PM1	6/15/16
A10	D-Trehalose		0.145		4DGC	PM1	6/15/16
A11	D-Mannose		0.144		4DGC	PM1	6/15/16
A12	Dulcitol		0.099		4DGC	PM1	6/15/16
B1	D-Serine		0.032		4DGC	PM1	6/15/16
B2	D-Sorbitol		0.138		4DGC	PM1	6/15/16
B3	Glycerol		0.107		4DGC	PM1	6/15/16
B4	L-Fucose		0.13		4DGC	PM1	6/15/16
B5	D-Glucuronic Acid		0.143		4DGC	PM1	6/15/16
B6	D-Gluconic Acid		0.167		4DGC	PM1	6/15/16
B7	"D,L-a-Glycerol-Phosphate"		0.108		4DGC	PM1	6/15/16
B8	D-Xylose		0.125		4DGC	PM1	6/15/16
B9	L-Lactic Acid		0.1		4DGC	PM1	6/15/16
B10	Formic Acid		0.113		4DGC	PM1	6/15/16
B11	D-Mannitol		0.108		4DGC	PM1	6/15/16
B12	L-Glutamic Acid		0.091		4DGC	PM1	6/15/16
C1	D-Glucose-6-Phosphate		0.114		4DGC	PM1	6/15/16
C2	D-Galactonic Acid-g-Lactone		0.127		4DGC	PM1	6/15/16
C3	"D,L-Malic Acid"		0.133		4DGC	PM1	6/15/16
C4	D-Ribose		0.125		4DGC	PM1	6/15/16
C5	Tween 20		0.004		4DGC	PM1	6/15/16
C6	L-Rhamnose		0.134		4DGC	PM1	6/15/16
C7	D-Fructose		0.106		4DGC	PM1	6/15/16
C8	Acetic Acid		0.089		4DGC	PM1	6/15/16
C9	a-D-Glucose		0.11		4DGC	PM1	6/15/16
C10	Maltose		0.117		4DGC	PM1	6/15/16
C11	D-Melibiose		0.116		4DGC	PM1	6/15/16
C12	Thymidine		0.106		4DGC	PM1	6/15/16
D1	L-Asparagine		0.123		4DGC	PM1	6/15/16
D2	D-Aspartic Acid		0.143		4DGC	PM1	6/15/16
D3	D-Glucosaminic Acid		0.101		4DGC	PM1	6/15/16
D4	"1,2-Propanediol"		0.106		4DGC	PM1	6/15/16
D5	Tween 40		0.007		4DGC	PM1	6/15/16
D6	a-Keto-Glutaric Acid		0.128		4DGC	PM1	6/15/16
D7	a-Keto-Butyric Acid		0.149		4DGC	PM1	6/15/16
D8	a-Methyl-D-Galactoside		0.098		4DGC	PM1	6/15/16
D9	a-D-Lactose		0.09		4DGC	PM1	6/15/16
D10	Lactulose		0.107		4DGC	PM1	6/15/16
D11	Sucrose		0.11		4DGC	PM1	6/15/16
D12	Uridine		0.093		4DGC	PM1	6/15/16
E1	L-Glutamine		0.128		4DGC	PM1	6/15/16
E2	M-Tartaric Acid		0.177		4DGC	PM1	6/15/16
E3	D-Glucose-1-Phosphate		0.118		4DGC	PM1	6/15/16
E4	D-Fructose-6-Phosphate		0.12		4DGC	PM1	6/15/16
E5	Tween 80		0.004		4DGC	PM1	6/15/16
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.116		4DGC	PM1	6/15/16
E7	a-Hydroxy Butyric Acid		0.126		4DGC	PM1	6/15/16
E8	b-Methyl-D-Glucoside		0.107		4DGC	PM1	6/15/16
E9	Adonitol		0.078		4DGC	PM1	6/15/16
E10	Maltotriose		0.104		4DGC	PM1	6/15/16
E11	2-Deoxy Adenosine		0.076		4DGC	PM1	6/15/16
E12	Adenosine		0.07		4DGC	PM1	6/15/16
F1	Glycil-L-Aspartic Acid		0.128		4DGC	PM1	6/15/16
F2	Citric Acid		0.151		4DGC	PM1	6/15/16
F3	M-Inositol		0.129		4DGC	PM1	6/15/16
