Gene,D-Saccharic Acid,D-Arabinose,Pyruvic Acid,Citric Acid,D-Glucose-1-Phosphate,Uni,L-Methionine,Pyruvic Acid,M-Tartaric Acid,L-Threonine,L-Arginine,L-Ornithine,L-Isoleucine,Uni,D-Sorbitol,Uridine,Glycolic Acid,Adenosine,L-Rhamnose,L-Lysine,D-Saccharic Acid,L-Serine,Butyric Acid,Uni,D-Mannitol,Maltose,Sucrose,D-Trehalose,Glycogen,Uni,D-Galactose,D-Alanine,Propionic Acid,D-Ribose,Tyramine,D-Gluconic Acid,Succinic Acid,Lactic Acid,Fructose,Acetamide,Uni,L-Proline,Dextrin,Citriconic Acid,L-Valine,Thymadine,N-Acetyl-D-Glucosamine,D-Glucosamnic Acid,L-Phenylalanine,L-Asparagine,Uni,L-Alanine,Acetic Acid
0048,73,12.04162369,113,18.27118174,104,103,160,71,108,185,114,76,72,98,161,229,229,136,108,125,66,75,80,97,89,73,128,110,105,46,71,58,82,10,176,71,126,63,91,28,57,121,156,66,107,269,79,68,75,73,91,56,111
0050,33,5.293407184,47,7.724255297,32,27,40,22,44,65,50,42,29,54,52,86,94,58,54,47,28,43,37,37,40,38,64,53,61,25,32,16,27,8,43,39,39,27,47,19,21,24,54,37,40,112,39,26,24,28,35,29,62
lapD,84,9.650225959,84,12.29547936,102,90,94,71,116,146,112,78,77,81,101,143,163,167,151,101,90,81,104,86,110,95,100,78,178,33,49,50,78,13,93,93,100,62,112,37,52,49,145,68,122,201,88,93,86,80,64,81,119
0190,67,11.51153935,90,10.47805092,90,45,102,33,315,196,48,51,33,115,95,96,101,61,36,83,40,43,40,38,48,31,49,36,78,39,129,35,37,20,142,42,60,41,48,13,23,20,71,62,43,144,51,33,17,42,112,27,108
0192,35,4.142412351,40,7.798347862,41,38,41,39,146,62,38,29,32,42,47,59,75,69,46,43,52,46,46,30,46,34,46,40,89,14,62,28,33,3,51,49,55,22,39,6,8,23,52,38,53,79,34,23,24,36,31,29,56
0264,194,22.17430734,242,38.34518156,184,184,219,127,322,337,230,136,155,171,218,308,329,262,218,193,122,150,140,160,154,150,173,196,302,84,126,88,106,28,218,120,200,118,189,49,83,74,188,130,187,348,157,100,108,129,154,91,182
0460,463,59.52436292,546,59.55889471,540,451,448,369,754,618,503,348,425,406,677,784,817,911,665,418,319,487,514,420,493,462,470,485,888,180,292,225,372,48,639,383,586,309,580,164,248,344,579,349,478,956,409,278,384,360,398,365,667
gcbA,128,17.51810124,142,20.52988515,102,136,197,127,173,313,143,149,137,205,311,329,327,227,150,202,154,174,156,168,159,164,171,130,110,95,183,99,143,33,245,116,193,93,125,56,121,79,281,157,184,427,217,96,76,101,235,143,214
0692,20,3.271332211,19,2.682983473,28,26,31,22,26,46,17,18,16,23,35,58,62,52,23,20,14,20,25,26,28,27,28,26,25,16,15,12,16,8,28,17,23,16,21,6,13,14,50,19,23,54,17,14,15,17,29,17,35
wspR,215,23.87167712,227,35.40026558,173,201,191,158,307,326,264,167,163,189,236,289,443,343,255,182,172,222,210,148,229,200,205,235,382,100,124,97,159,36,218,187,213,146,303,59,96,104,289,191,207,460,171,137,152,176,144,139,217
