Gene,K10,D-Saccharic Acid,D-Arabinose,Pyruvate,Citrate,1-G-P,K10,Low Pi,Uni,L-Met,K10,M-tartaric acid,L-Threonine,L-Arginine,L-Ornithine,L-Isoleucine ,Uni,D-Sorbitol,Uridine,Glycolic Acid,Adenosine,L-Rhamnose,K10,L-Lysine,D-Saccharic Acid,L-Serine,Butyric Acid,Xylopyranoside,Uni,D-Mannitol,Maltose,Sucrose,D-Trehalose,Glycogen,K10,Uni,D-Galactose,D-Alanine,Propionic Acid,D-Ribose,Tyramine,D-Gluconic Acid,Succinic Acid,Lactic Acid,Fructose,Acetamide,K10,Uni,L-Proline,Dextrin (Soluble),Citriconic Acid,L-Valine,Thymadine,N-A-D-G,D-Glucosamnic Acid,L-Phenylalanine,L-Asparagine,K10,Uni,L-Alanine,Arabinose,Acetic Acid
Pfl01_0048,45,73,133,92,112.5,104,59,70,103,160,83,108,185,114,76,72,98,161,229,229,136,108,58,125,66,75,80,86,97,89,73,128,110,105,62,46,71,58,82,10,176,71,126,63,91,28,122,57,121,156,66,107,269,79,68,75,73,71,91,56,29,111
Pfl01_0050,32,33,45,34.5,47.5,32,25,19,27,40,44,44,65,50,42,29,54,52,86,94,58,54,31,47,28,43,37,34,37,40,38,64,53,61,38,25,32,16,27,8,43,39,39,27,47,19,69,21,24,54,37,40,112,39,26,24,28,41,35,29,18,62
lapD,109,84,79,77.5,75.5,102,72,64,90,94,123,116,146,112,78,77,81,101,143,163,167,151,57,101,90,81,104,58,86,110,95,100,78,178,79,33,49,50,78,13,93,93,100,62,112,37,151,52,49,145,68,122,201,88,93,86,80,80,64,81,34,119
Pfl01_0190,97,67,129,61.5,64,90,36,52,45,102,67,315,196,48,51,33,115,95,96,101,61,36,70,83,40,43,40,74,38,48,31,49,36,78,39,39,129,35,37,20,142,42,60,41,48,13,87,23,20,71,62,43,144,51,33,17,42,44,112,27,27,108
Pfl01_0192,59,35,38,39.5,48,41,62,51,38,41,84,146,62,38,29,32,42,47,59,75,69,46,65,43,52,46,46,32,30,46,34,46,40,89,63,14,62,28,33,3,51,49,55,22,39,6,132,8,23,52,38,53,79,34,23,24,36,59,31,29,13,56
Pfl01_0264,239,194,228,184.5,236,184,155,361,184,219,212,322,337,230,136,155,171,218,308,329,262,218,154,193,122,150,140,156,160,154,150,173,196,302,198,84,126,88,106,28,218,120,200,118,189,49,372,83,74,188,130,187,348,157,100,108,129,177,154,91,60,182
Pfl01_0460,458,463,484,457.5,367,540,303,231,451,448,402,754,618,503,348,425,406,677,784,817,911,665,275,418,319,487,514,398,420,493,462,470,485,888,386,180,292,225,372,48,639,383,586,309,580,164,552,248,344,579,349,478,956,409,278,384,360,375,398,365,211,667
gcbA,75,128,135,134.5,126.5,102,79,78,136,197,127,173,313,143,149,137,205,311,329,327,227,150,80,202,154,174,156,188,168,159,164,171,130,110,91,95,183,99,143,33,245,116,193,93,125,56,129,121,79,281,157,184,427,217,96,76,101,95,235,143,65,214
Pfl01_0692,18,20,23,20.5,16.5,28,12,13,26,31,21,26,46,17,18,16,23,35,58,62,52,23,17,20,14,20,25,25,26,28,27,28,26,25,8,16,15,12,16,8,28,17,23,16,21,6,27,13,14,50,19,23,54,17,14,15,17,12,29,17,13,35
wspR,219,215,188,192.5,218,173,189,219,201,191,291,307,326,264,167,163,189,236,289,443,343,255,190,182,172,222,210,171,148,229,200,205,235,382,226,100,124,97,159,36,218,187,213,146,303,59,459,96,104,289,191,207,460,171,137,152,176,248,144,139,87,217
Pfl01_1252,1,4,11,4.5,2.5,7,5,5,6,4,5,7,9,7,1,2,1,8,6,6,9,3,3,3,2,2,4,2,5,7,8,4,6,4,1,1,4,3,1,1,5,7,3,2,1,1,4,4,2,7,5,1,8,3,3,3,1,2,5,2,1,3
Pfl01_1323,70,65,79,83,89,81,47,52,77,102,73,179,116,102,63,53,63,98,118,163,151,88,59,82,57,64,68,63,66,89,79,70,97,157,80,32,58,34,51,8,104,67,86,55,99,24,132,33,38,93,61,78,147,63,45,57,60,57,58,59,28,100
Pfl01_1336,82,138,137,90,72.5,82,47,44,58,81,88,102,181,101,65,62,111,184,195,197,134,77,38,113,53,68,60,63,70,86,55,88,85,68,58,33,39,39,48,6,150,57,92,52,66,14,125,18,28,125,74,73,244,71,39,38,48,65,81,49,28,124
rapA,16,14,19,12.5,102.5,20,12,248,20,26,15,43,40,25,18,7,19,19,27,38,27,22,9,20,10,8,17,21,15,18,15,18,17,31,10,10,26,7,12,1,41,15,17,12,18,14,15,8,10,29,21,20,32,17,13,9,22,9,16,7,10,19
