"","p","BH","Bon"
"Pfl01_0050",0.0009765625,0.0169270833333333,0.05078125
"gcbA",0.0009765625,0.0169270833333333,0.05078125
"Pfl01_1336",0.0009765625,0.0169270833333333,0.05078125
"Pfl01_2049",0.001953125,0.025390625,0.1015625
"Pfl01_0958",0.0029296875,0.03046875,0.15234375
"Pfl01_0192",0.0048828125,0.035546875,0.25390625
"Pfl01_4257",0.0048828125,0.035546875,0.25390625
"Pfl01_0190",0.0068359375,0.035546875,0.35546875
"Pfl01_1887",0.0068359375,0.035546875,0.35546875
"Pfl01_5150",0.0068359375,0.035546875,0.35546875
"Pfl01_2709",0.013671875,0.0592447916666667,0.7109375
"Pfl01_5518",0.013671875,0.0592447916666667,0.7109375
"wspR",0.0185546875,0.0689174107142857,0.96484375
"Pfl01_2176",0.0185546875,0.0689174107142857,0.96484375
"Pfl01_4876",0.0419921875,0.145572916666667,1
"Pfl01_0264",0.0673828125,0.1751953125,1
"Pfl01_2295",0.0673828125,0.1751953125,1
"Pfl01_3508",0.0673828125,0.1751953125,1
"Pfl01_5643",0.0673828125,0.1751953125,1
"Pfl01_1532",0.0673828125,0.1751953125,1
"Pfl01_3972",0.0830078125,0.205543154761905,1
"Pfl01_4084",0.1015625,0.220052083333333,1
"Pfl01_4451",0.1015625,0.220052083333333,1
"Pfl01_3860",0.1015625,0.220052083333333,1
"Pfl01_2170",0.123046875,0.24609375,1
"Pfl01_5255",0.123046875,0.24609375,1
"Pfl01_0692",0.1474609375,0.264412715517241,1
"Pfl01_3039",0.1474609375,0.264412715517241,1
"Pfl01_3550",0.1474609375,0.264412715517241,1
"Pfl01_2525",0.1748046875,0.302994791666667,1
"Pfl01_4884",0.240234375,0.402973790322581,1
"rapA",0.2783203125,0.438565340909091,1
"Pfl01_4086",0.2783203125,0.438565340909091,1
"Pfl01_3800",0.3203125,0.475892857142857,1
"Pfl01_5111",0.3203125,0.475892857142857,1
"lapD",0.365234375,0.527560763888889,1
"Pfl01_1252",0.46484375,0.636101973684211,1
"Pfl01_2297",0.46484375,0.636101973684211,1
"Pfl01_0048",0.51953125,0.658917682926829,1
"gcbC",0.51953125,0.658917682926829,1
"Pfl01_4008",0.51953125,0.658917682926829,1
"Pfl01_1323",0.5771484375,0.697946947674418,1
"Pfl01_2920",0.5771484375,0.697946947674418,1
"gcbB",0.6376953125,0.705535239361702,1
"Pfl01_4307",0.6376953125,0.705535239361702,1
"Pfl01_4551",0.6376953125,0.705535239361702,1
"Pfl01_4552",0.6376953125,0.705535239361702,1
"Pfl01_0460",0.7001953125,0.758544921875,1
"Pfl01_1463",0.8310546875,0.864296875,1
"Pfl01_4150",0.8310546875,0.864296875,1
"Pfl01_5168",0.8984375,0.916053921568627,1
"Pfl01_4487",1,1,1
